op,count,errors,mean_ms,std_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,jitter_mean_ms,jitter_p95_ms
list_accounts,50,0,0.01137434,0.003262441825443022,0.0105475,0.014207400000000002,0.0168287,0.023192439999999984,0.02684,0.0029034489795918368,0.008703599999999999
account_balance,50,0,16.538115060000003,6.087706885318949,13.9746625,25.336033200000006,33.2004053,34.284231059999996,34.694854,3.635837795918367,11.004075799999999
margin,50,0,19.171366640000002,22.74460859954344,15.797695000000001,17.9763725,18.92657725,100.6227260999997,178.105745,8.108167408163267,5.239141599999995
list_positions_stock,50,0,51.176619980000005,12.85107725356071,46.916391000000004,62.3666531,64.0334906,91.3653754899999,115.321377,13.214069979591835,25.731898599999997
list_positions_futopt,50,0,17.752042940000003,7.531329053338865,16.305808499999998,19.2514804,21.0132146,45.76236170999991,69.353961,3.72955893877551,6.207014399999996
list_position_detail,50,0,0.036475980000000005,0.020153541687246933,0.031420500000000004,0.046619100000000004,0.05107694999999998,0.11315348999999977,0.167984,0.014542612244897958,0.029705799999999977
list_profit_loss,50,0,31.936457920000002,7.4783465256470905,29.749256,41.659074700000005,46.6233728,55.229243509999975,60.563384,7.273324122448978,16.6748992
update_status,50,0,23.8231151,7.261939401144028,22.233871999999998,26.7994083,34.510210999999984,52.819970309999945,67.0795,4.834341612244898,13.68168839999999
list_trades,50,0,0.015665839999999997,0.0035381725246799375,0.014883500000000001,0.020891,0.02280725,0.025694579999999998,0.025968,0.003783632653061225,0.009640399999999993
usage,50,0,13.98760626,1.784820513349674,13.5949785,15.744646400000002,17.418025399999998,19.627225949999996,20.800896,1.6888840408163266,4.576949799999998
place_order_stock,50,0,32.6934806,6.510423782607354,31.332893,35.9622614,41.15667224999999,58.56443972999995,71.34174,4.946511469387755,15.952989999999998
update_order_stock,50,0,0.32956420000000003,0.07082467033343678,0.3314105,0.3931185,0.47791859999999986,0.5332952799999999,0.54306,0.07103112244897958,0.1903489999999999
cancel_order_stock,50,0,34.38694588,39.79940765889241,27.405129000000002,38.335062300000004,41.10579134999999,226.94438064,229.305918,18.635401367346937,126.829392199999
place_order_futures,50,0,50.399794199999995,63.3830741370834,32.481294500000004,43.9459347,175.8302641499996,322.5706980299999,344.268806,21.76687869387755,147.90981119999927
snapshots_stock,50,0,101.77457606,532.9986299694035,24.756605,31.198926200000002,35.89704749999999,1973.4958716199924,3832.68242,158.8938493877551,15.136781999999998
ticks_stock,50,0,247.65329857999998,183.40961624987546,216.9745925,229.7743183,267.0588694,921.5222658499976,1527.173357,63.126966040816306,70.80795639999981
kbars_stock,50,0,25.436889299999997,3.4428281675606014,24.205005,31.6394692,32.812167699999996,35.15066553,36.373413,2.9950273673469385,9.913413
snapshots_futures,50,0,57.98994716,239.14841749185436,22.946599499999998,29.1135258,32.811267699999995,900.0607382699966,1731.890362,72.40117946938776,12.470976000000002
ticks_futures,50,0,49.32832706,11.216469622956593,45.290039500000006,65.8485075,72.64501920000001,91.81431695999997,98.627569,5.3881982040816325,24.02071579999998
kbars_futures,50,0,19.304406099999998,1.4747435413885661,18.9213355,21.0124637,21.5027394,24.234827889999995,25.343521,1.208332142857143,2.8736810000000004
snapshots_options,50,0,22.061966159999997,1.6022674875596192,21.4345535,23.8218868,24.9099887,27.454391559999994,28.894676,1.4024392040816327,3.967861999999997
quote_sub_tick,50,0,0.15808181999999998,0.04409919189494973,0.14434,0.20344730000000003,0.23204009999999992,0.3181401399999998,0.37141,0.03974563265306122,0.11625319999999995
quote_sub_bidask,50,0,0.17350604,0.08103075548727409,0.1523475,0.22843990000000003,0.2814827999999999,0.5256082699999998,0.570089,0.0679252857142857,0.3209101999999999
quote_unsub_tick,50,0,0.0057491999999999994,0.004578901746052212,0.0045260000000000005,0.0068436,0.007889699999999996,0.026589669999999975,0.033017,0.002932734693877551,0.015260199999999995
quote_unsub_bidask,50,0,0.005186799999999999,0.003083463092044398,0.004301,0.0074439,0.009312799999999993,0.017301149999999973,0.023458,0.0021146734693877553,0.006203199999999989
