contract,trading_day,pair_id,or_start,or_end,bbo_first_time,bbo_last_time,coverage_status,or_high,or_low,or_width,post_or_high,post_or_low,max_upside_break_pts,max_downside_break_pts,first_up_break_time,first_down_break_time,break_side,break_magnitude_pts,break_magnitude_vs_or_width,break_magnitude_vs_prior_realized_vol,vwap_side_at_break,reverted_to_or,time_above_or_high,time_below_or_low,event_selected_by_v0,persistent_after_break,realized_vol_ratio
TXFC6,2026-03-09,TXFC6->TMFC6,2026-03-09T00:45:00+00:00,2026-03-09T01:15:00+00:00,2026-03-09T00:32:45.008314+00:00,2026-03-09T20:58:56.110861+00:00,ok,31832.5,31139.5,693.0,31878.0,31543.5,45.5,0.0,2026-03-09T01:18:52.161124+00:00,,up,45.5,0.06565656565656566,1.4777935508458147,above,True,77,0,False,False,0.9936874257664181
TXFC6,2026-03-10,TXFC6->TMFC6,2026-03-10T00:45:00+00:00,2026-03-10T01:15:00+00:00,2026-03-10T00:30:05.035504+00:00,2026-03-10T20:51:41.581511+00:00,ok,33326.5,32939.5,387.0,33130.5,32940.0,0.0,0.0,,,none,0.0,0.0,0.0,not_evaluated,False,0,0,False,False,1.0127694519200212
TXFC6,2026-03-11,TXFC6->TMFC6,2026-03-11T00:45:00+00:00,2026-03-11T01:15:00+00:00,2026-03-11T00:30:05.105889+00:00,2026-03-11T20:59:43.304837+00:00,ok,33501.5,33279.5,222.0,33690.5,33564.5,189.0,0.0,2026-03-11T01:15:00.543839+00:00,,up,63.0,0.28378378378378377,4.927197248667109,above,False,1746,0,False,True,0.9349045527707642
TXFC6,2026-03-12,TXFC6->TMFC6,2026-03-12T00:45:00+00:00,2026-03-12T01:15:00+00:00,2026-03-12T00:30:05.007338+00:00,2026-03-12T20:57:24.287183+00:00,ok,33699.5,33508.0,191.5,33935.5,33636.5,236.0,0.0,2026-03-12T01:21:19.888955+00:00,,up,15.0,0.0783289817232376,0.9176494308070664,above,False,1389,0,False,True,0.7833546385848231
TXFC6,2026-03-13,TXFC6->TMFC6,2026-03-13T00:45:00+00:00,2026-03-13T01:15:00+00:00,2026-03-13T00:30:05.009614+00:00,2026-03-13T20:54:24.179033+00:00,ok,33121.5,32734.0,387.5,33312.0,33080.0,190.5,0.0,2026-03-13T01:19:55.271085+00:00,,up,5.0,0.012903225806451613,0.3140426489631351,above,True,1442,0,False,True,0.960458417695041
TXFC6,2026-03-16,TXFC6->TMFC6,2026-03-16T00:45:00+00:00,2026-03-16T01:15:00+00:00,2026-03-16T00:30:05.002317+00:00,2026-03-16T20:56:06.606309+00:00,ok,33706.5,33242.5,464.0,33385.5,33087.0,0.0,155.5,,2026-03-16T01:18:32.398895+00:00,down,7.0,0.015086206896551725,0.3690814392196752,below,True,0,962,False,False,0.8755652479877326
TXFC6,2026-03-17,TXFC6->TMFC6,2026-03-17T00:45:00+00:00,2026-03-17T01:15:00+00:00,2026-03-17T00:30:05.013747+00:00,2026-03-17T20:48:56.016219+00:00,ok,33823.5,33602.5,221.0,34000.5,33712.5,177.0,0.0,2026-03-17T01:30:19.260125+00:00,,up,43.0,0.19457013574660634,2.578362431966782,above,False,862,0,False,True,1.0936416280234096
TXFC6,2026-03-18,TXFC6->TMFC6,2026-03-18T00:45:00+00:00,2026-03-18T01:15:00+00:00,2026-03-18T00:30:05.014348+00:00,2026-03-18T05:21:38.082389+00:00,ok,34432.5,34240.5,192.0,34414.5,34153.5,0.0,87.0,,2026-03-18T01:29:33.824332+00:00,down,15.0,0.078125,1.2802723060889907,below,True,0,471,True,True,1.3424217988281764
TXFD6,2026-01-26,TXFD6->TMFD6,2026-01-26T00:45:00+00:00,2026-01-26T01:15:00+00:00,2026-01-26T13:18:46.410380+00:00,2026-01-26T15:00:35.219234+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-01-27,TXFD6->TMFD6,2026-01-27T00:45:00+00:00,2026-01-27T01:15:00+00:00,2026-01-27T00:41:25.138411+00:00,2026-01-27T17:56:12.909468+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
