contract,trading_day,pair_id,or_start,or_end,bbo_first_time,bbo_last_time,coverage_status,or_high,or_low,or_width,post_or_high,post_or_low,max_upside_break_pts,max_downside_break_pts,first_up_break_time,first_down_break_time,break_side,break_magnitude_pts,break_magnitude_vs_or_width,break_magnitude_vs_prior_realized_vol,vwap_side_at_break,reverted_to_or,time_above_or_high,time_below_or_low,event_selected_by_v0,persistent_after_break,realized_vol_ratio
TXFE6,2026-03-20,TXFE6->TMFE6,2026-03-20T00:45:00+00:00,2026-03-20T01:15:00+00:00,2026-03-20T00:30:05.047562+00:00,2026-03-20T15:55:04.981293+00:00,ok,33910.0,33788.0,122.0,33784.0,33586.0,0.0,202.0,,2026-03-20T01:16:37.056152+00:00,down,80.0,0.6557377049180327,2.2797204521708987,below,False,0,1698,True,True,1.7388006402609608
TXFE6,2026-03-23,TXFE6->TMFE6,2026-03-23T00:45:00+00:00,2026-03-23T01:15:00+00:00,2026-03-23T00:30:05.037937+00:00,2026-03-23T08:59:06.264287+00:00,ok,32662.0,32438.0,224.0,32780.5,32712.5,118.5,0.0,2026-03-23T01:17:38.025860+00:00,,up,50.5,0.22544642857142858,0.8300768388532064,above,False,1639,0,False,True,0.3677911349549129
TXFE6,2026-04-15,TXFE6->TMFE6,2026-04-15T00:45:00+00:00,2026-04-15T01:15:00+00:00,2026-04-15T07:55:04.714000+00:00,2026-04-15T20:50:00.456630+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-04-16,TXFE6->TMFE6,2026-04-16T00:45:00+00:00,2026-04-16T01:15:00+00:00,2026-04-16T00:30:30+00:00,2026-04-16T20:56:16.128349+00:00,ok,37400.5,37115.5,285.0,37325.5,37194.5,0.0,0.0,,,none,0.0,0.0,0.0,not_evaluated,False,0,0,False,False,0.8226141787888664
TXFE6,2026-04-17,TXFE6->TMFE6,2026-04-17T00:45:00+00:00,2026-04-17T01:15:00+00:00,2026-04-17T00:30:35+00:00,2026-04-17T20:56:08.220154+00:00,ok,37328.5,37183.5,145.0,37340.5,37209.5,12.0,0.0,2026-04-17T01:21:56.152513+00:00,,up,12.0,0.08275862068965517,1.2269471178591393,above,True,161,0,True,False,1.7792887679125642
TXFE6,2026-04-20,TXFE6->TMFE6,2026-04-20T00:45:00+00:00,2026-04-20T01:15:00+00:00,2026-04-20T00:30:10+00:00,2026-04-20T20:59:00.471860+00:00,ok,37602.5,37286.5,316.0,37640.5,37455.5,38.0,0.0,2026-04-20T01:43:21.062288+00:00,,up,27.0,0.08544303797468354,2.5423580682472244,above,False,96,0,False,True,1.177737943260423
TXFE6,2026-04-21,TXFE6->TMFE6,2026-04-21T00:45:00+00:00,2026-04-21T01:15:00+00:00,2026-04-21T00:30:10+00:00,2026-04-21T20:56:04.019563+00:00,ok,38057.5,37731.5,326.0,37851.0,37719.5,0.0,12.0,,2026-04-21T01:16:18.084283+00:00,down,2.0,0.006134969325153374,0.11763010068883613,below,True,0,28,False,False,0.8536475061956101
TXFE6,2026-04-22,TXFE6->TMFE6,2026-04-22T00:45:00+00:00,2026-04-22T01:15:00+00:00,2026-04-22T00:30:35.003290+00:00,2026-04-22T14:30:39.754016+00:00,ok,38163.0,37931.5,231.5,38266.0,38058.5,103.0,0.0,2026-04-22T01:29:54.104509+00:00,,up,1.0,0.004319654427645789,0.08238127786760487,above,False,877,0,False,True,0.9476282788757869
TXFE6,2026-04-24,TXFE6->TMFE6,2026-04-24T00:45:00+00:00,2026-04-24T01:15:00+00:00,2026-04-24T15:42:40.565000+00:00,2026-04-24T20:58:00.927603+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-04-27,TXFE6->TMFE6,2026-04-27T00:45:00+00:00,2026-04-27T01:15:00+00:00,2026-04-27T01:35:38.533580+00:00,2026-04-27T07:57:34.443000+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-04-28,TXFE6->TMFE6,2026-04-28T00:45:00+00:00,2026-04-28T01:15:00+00:00,2026-04-28T00:45:00.705534+00:00,2026-04-28T20:55:40.936958+00:00,ok,40003.5,39817.0,186.5,40330.0,40003.5,326.5,0.0,2026-04-28T01:15:02.400828+00:00,,up,12.0,0.064343163538874,1.8367356423522663,above,False,1679,0,False,True,0.8326131911327134
TXFE6,2026-04-29,TXFE6->TMFE6,2026-04-29T00:45:00+00:00,2026-04-29T01:15:00+00:00,2026-04-29T00:30:50.004338+00:00,2026-04-29T20:58:41.478143+00:00,ok,39770.5,39140.5,630.0,39490.0,39261.5,0.0,0.0,,,none,0.0,0.0,0.0,not_evaluated,False,0,0,False,False,0.42992052408294884
TXFE6,2026-04-30,TXFE6->TMFE6,2026-04-30T00:45:00+00:00,2026-04-30T01:15:00+00:00,2026-04-30T00:32:10.002266+00:00,2026-04-30T20:11:31.657852+00:00,ok,39932.5,39593.5,339.0,39755.5,39460.5,0.0,133.0,,2026-04-30T01:35:45.441454+00:00,down,13.0,0.038348082595870206,1.7684111279554091,below,True,0,331,False,True,0.9559135419930225
TXFE6,2026-05-04,TXFE6->TMFE6,2026-05-04T00:45:00+00:00,2026-05-04T01:15:00+00:00,2026-05-04T00:30:05.022558+00:00,2026-05-04T20:58:10.806743+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-05-05,TXFE6->TMFE6,2026-05-05T00:45:00+00:00,2026-05-05T01:15:00+00:00,2026-05-05T00:30:05.020701+00:00,2026-05-05T20:45:09.655730+00:00,ok,41067.5,40850.5,217.0,41060.5,40809.5,0.0,41.0,,2026-05-05T01:30:12.116392+00:00,down,12.0,0.055299539170506916,1.8779833084166977,below,True,0,188,False,False,1.1369872666210412
TXFE6,2026-05-06,TXFE6->TMFE6,2026-05-06T00:45:00+00:00,2026-05-06T01:15:00+00:00,2026-05-06T00:30:05.014224+00:00,2026-05-06T20:59:32.684975+00:00,ok,41951.0,41637.5,313.5,41976.5,41724.0,25.5,0.0,2026-05-06T01:16:08.522837+00:00,,up,4.5,0.014354066985645933,0.2950343444464825,above,True,300,0,False,True,0.5380540725144907
TXFE6,2026-05-07,TXFE6->TMFE6,2026-05-07T00:45:00+00:00,2026-05-07T01:15:00+00:00,2026-05-07T00:31:00.054448+00:00,2026-05-07T20:58:34.878566+00:00,ok,42315.0,42014.5,300.5,42362.0,42083.5,47.0,0.0,2026-05-07T01:44:04.108915+00:00,,up,14.0,0.04658901830282862,1.6455957750286174,above,False,53,0,False,True,0.7554852043693177
TXFE6,2026-05-08,TXFE6->TMFE6,2026-05-08T00:45:00+00:00,2026-05-08T01:15:00+00:00,2026-05-08T00:30:05.044228+00:00,2026-05-08T20:58:14.497928+00:00,ok,42229.5,42068.5,161.0,42312.5,42147.5,83.0,0.0,2026-05-08T01:15:37.089193+00:00,,up,37.5,0.2329192546583851,5.851070217798051,above,True,982,0,False,False,0.943567792119923
