factor,median_all,median_high_vol,median_low_vol,note
InstitutionalOFI,-61.3500,18.1349,-196.8191,🔥 HIGH VOL ONLY
MeanRevertingOFI,-100.1088,-21.0036,-354.5541,❌ FAIL
