date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-02-26,30200,202602F4,P,281,0.1,61,69958,69415,1,0.003896
2026-02-26,30300,202602F4,P,27,0.1,1,69958,69415,0,0.003896
2026-02-26,30400,202602F4,P,2,0.1,0,69958,69415,0,0.003896
2026-02-26,30500,202602F4,P,33,0.1,20,69958,69415,0,0.003896
2026-02-26,30600,202602F4,P,26,0.2,22,69958,69415,0,0.003896
2026-02-26,30700,202602F4,P,24,0.2,22,69958,69415,0,0.003896
2026-02-26,30800,202602F4,P,26,0.2,20,69958,69415,0,0.003896
2026-02-26,30900,202602F4,P,34,0.2,0,69958,69415,0,0.003896
2026-02-26,31000,202602F4,P,61,0.2,32,69958,69415,0,0.003896
2026-02-26,31100,202602F4,P,110,0.2,101,69958,69415,0,0.003896
2026-02-26,31200,202602F4,P,231,0.2,11,69958,69415,0,0.003896
2026-02-26,31300,202602F4,P,221,0.2,209,69958,69415,0,0.003896
2026-02-26,31400,202602F4,P,461,0.2,445,69958,69415,1,0.003896
2026-02-26,31500,202602F4,P,1298,0.2,403,69958,69415,5,0.003896
2026-02-26,31600,202602F4,P,800,0.3,514,69958,69415,3,0.003896
2026-02-26,31700,202602F4,P,858,0.3,785,69958,69415,3,0.003896
2026-02-26,31800,202602F4,P,1013,0.3,900,69958,69415,3,0.003896
2026-02-26,31900,202602F4,P,888,0.5,565,69958,69415,3,0.003896
2026-02-26,32000,202602F4,P,791,0.7,890,69958,69415,3,0.003896
2026-02-26,32100,202602F4,P,167,0.8,73,69958,69415,0,0.003896
2026-02-26,32200,202602F4,P,208,1.0,62,69958,69415,0,0.003896
2026-02-26,32300,202602F4,P,109,1.0,126,69958,69415,0,0.003896
2026-02-26,32400,202602F4,P,935,1.0,241,69958,69415,3,0.003896
2026-02-26,32500,202602F4,P,808,1.1,901,69958,69415,3,0.003896
2026-02-26,32600,202602F4,P,184,1.1,106,69958,69415,0,0.003896
2026-02-26,32650,202602F4,P,39,1.2,8,69958,69415,0,0.003896
2026-02-26,32700,202602F4,P,232,1.2,144,69958,69415,0,0.003896
2026-02-26,32750,202602F4,P,61,1.4,31,69958,69415,0,0.003896
2026-02-26,32800,202602F4,P,116,1.5,251,69958,69415,0,0.003896
2026-02-26,32850,202602F4,P,55,1.5,73,69958,69415,0,0.003896
2026-02-26,32900,202602F4,P,218,1.5,490,69958,69415,0,0.003896
2026-02-26,32950,202602F4,P,81,1.6,49,69958,69415,0,0.003896
2026-02-26,33000,202602F4,P,634,1.9,605,69958,69415,2,0.003896
2026-02-26,33050,202602F4,P,52,1.9,21,69958,69415,0,0.003896
2026-02-26,33100,202602F4,C,2,2370.0,3,69958,69415,0,0.003896
2026-02-26,33100,202602F4,P,189,2.2,183,69958,69415,0,0.003896
2026-02-26,33150,202602F4,P,87,2.2,73,69958,69415,0,0.003896
2026-02-26,33200,202602F4,P,445,2.4,512,69958,69415,1,0.003896
2026-02-26,33250,202602F4,P,119,2.5,160,69958,69415,0,0.003896
2026-02-26,33300,202602F4,P,363,2.5,691,69958,69415,1,0.003896
2026-02-26,33350,202602F4,P,146,2.8,231,69958,69415,0,0.003896
2026-02-26,33400,202602F4,C,1,2070.0,0,69958,69415,0,0.003896
2026-02-26,33400,202602F4,P,354,3.0,711,69958,69415,1,0.003896
2026-02-26,33450,202602F4,P,178,3.4,423,69958,69415,0,0.003896
2026-02-26,33500,202602F4,P,664,3.4,1547,69958,69415,2,0.003896
