date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-03-11,28800,202603W2,P,39,0.0,1,62224,63340,0,-0.008888
2026-03-11,28900,202603W2,P,51,0.0,0,62224,63340,0,-0.008888
2026-03-11,29000,202603W2,P,7,0.0,0,62224,63340,0,-0.008888
2026-03-11,29100,202603W2,P,105,0.0,10,62224,63340,0,-0.008888
2026-03-11,29200,202603W2,P,17,0.0,5,62224,63340,0,-0.008888
2026-03-11,29300,202603W2,P,100,0.0,50,62224,63340,0,-0.008888
2026-03-11,29400,202603W2,P,243,0.0,30,62224,63340,-2,-0.008888
2026-03-11,29500,202603W2,C,4,0.0,0,62224,63340,0,-0.008888
2026-03-11,29500,202603W2,P,8105,0.0,1235,62224,63340,-72,-0.008888
2026-03-11,29600,202603W2,C,1,0.0,0,62224,63340,0,-0.008888
2026-03-11,29600,202603W2,P,1263,0.0,309,62224,63340,-11,-0.008888
2026-03-11,29700,202603W2,C,1,0.0,0,62224,63340,0,-0.008888
2026-03-11,29700,202603W2,P,722,0.0,129,62224,63340,-6,-0.008888
2026-03-11,29800,202603W2,P,552,0.0,194,62224,63340,-4,-0.008888
2026-03-11,29900,202603W2,C,1,0.0,0,62224,63340,0,-0.008888
2026-03-11,29900,202603W2,P,653,0.0,410,62224,63340,-5,-0.008888
2026-03-11,30000,202603W2,C,3,0.0,0,62224,63340,0,-0.008888
2026-03-11,30000,202603W2,P,3478,0.0,1439,62224,63340,-30,-0.008888
2026-03-11,30100,202603W2,P,884,0.0,315,62224,63340,-7,-0.008888
2026-03-11,30200,202603W2,C,3,0.0,0,62224,63340,0,-0.008888
2026-03-11,30200,202603W2,P,1177,0.0,309,62224,63340,-10,-0.008888
2026-03-11,30300,202603W2,C,1,0.0,0,62224,63340,0,-0.008888
2026-03-11,30300,202603W2,P,648,0.0,577,62224,63340,-5,-0.008888
2026-03-11,30400,202603W2,C,18,0.0,0,62224,63340,0,-0.008888
2026-03-11,30400,202603W2,P,728,0.0,889,62224,63340,-6,-0.008888
2026-03-11,30500,202603W2,C,8,0.0,0,62224,63340,0,-0.008888
2026-03-11,30500,202603W2,P,1017,0.0,1013,62224,63340,-9,-0.008888
2026-03-11,30600,202603W2,C,9,0.0,0,62224,63340,0,-0.008888
2026-03-11,30600,202603W2,P,1014,0.0,708,62224,63340,-9,-0.008888
