date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-01-06,25400,202601W1,P,448,0.1,17,70551,83889,-38,-0.086364
2026-01-06,25500,202601W1,P,108,0.1,0,70551,83889,-9,-0.086364
2026-01-06,25600,202601W1,P,182,0.1,0,70551,83889,-15,-0.086364
2026-01-06,25700,202601W1,P,55,0.1,0,70551,83889,-4,-0.086364
2026-01-06,25800,202601W1,P,31,0.1,0,70551,83889,-2,-0.086364
2026-01-06,25900,202601W1,P,7,0.2,13,70551,83889,0,-0.086364
2026-01-06,26000,202601W1,P,56,0.2,23,70551,83889,-4,-0.086364
2026-01-06,26100,202601W1,P,10,0.2,0,70551,83889,0,-0.086364
2026-01-06,26200,202601W1,P,61,0.2,1,70551,83889,-5,-0.086364
2026-01-06,26300,202601W1,P,74,0.2,0,70551,83889,-6,-0.086364
2026-01-06,26400,202601W1,P,71,0.2,20,70551,83889,-6,-0.086364
2026-01-06,26500,202601W1,P,130,0.2,304,70551,83889,-11,-0.086364
2026-01-06,26600,202601W1,P,25,0.2,1,70551,83889,-2,-0.086364
2026-01-06,26700,202601W1,P,41,0.2,6,70551,83889,-3,-0.086364
2026-01-06,26800,202601W1,P,125,0.2,4,70551,83889,-10,-0.086364
2026-01-06,26900,202601W1,P,52,0.2,25,70551,83889,-4,-0.086364
2026-01-06,27000,202601W1,P,289,0.3,10,70551,83889,-24,-0.086364
2026-01-06,27100,202601W1,P,48,0.3,54,70551,83889,-4,-0.086364
2026-01-06,27200,202601W1,P,101,0.3,14,70551,83889,-8,-0.086364
2026-01-06,27300,202601W1,P,122,0.3,83,70551,83889,-10,-0.086364
2026-01-06,27400,202601W1,P,159,0.3,85,70551,83889,-13,-0.086364
2026-01-06,27500,202601W1,P,695,0.3,151,70551,83889,-60,-0.086364
2026-01-06,27550,202601W1,P,109,0.3,3,70551,83889,-9,-0.086364
2026-01-06,27600,202601W1,C,1,2890.0,0,70551,83889,0,-0.086364
2026-01-06,27600,202601W1,P,130,0.4,71,70551,83889,-11,-0.086364
2026-01-06,27650,202601W1,P,96,0.4,80,70551,83889,-8,-0.086364
2026-01-06,27700,202601W1,P,138,0.4,45,70551,83889,-11,-0.086364
2026-01-06,27750,202601W1,P,48,0.4,45,70551,83889,-4,-0.086364
2026-01-06,27800,202601W1,C,1,2690.0,0,70551,83889,0,-0.086364
2026-01-06,27800,202601W1,P,143,0.4,624,70551,83889,-12,-0.086364
2026-01-06,27850,202601W1,P,476,0.4,122,70551,83889,-41,-0.086364
2026-01-06,27900,202601W1,C,1,2590.0,0,70551,83889,0,-0.086364
2026-01-06,27900,202601W1,P,271,0.4,114,70551,83889,-23,-0.086364
2026-01-06,27950,202601W1,C,1,2540.0,1,70551,83889,0,-0.086364
