date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-02-05,28400,202602F1,P,797,0.1,566,72283,101471,-133,-0.167985
2026-02-05,28500,202602F1,C,10,3360.0,0,72283,101471,-1,-0.167985
2026-02-05,28500,202602F1,P,246,0.1,12,72283,101471,-41,-0.167985
2026-02-05,28600,202602F1,C,2,3260.0,0,72283,101471,0,-0.167985
2026-02-05,28600,202602F1,P,18,0.1,7,72283,101471,-3,-0.167985
2026-02-05,28700,202602F1,P,34,0.1,9,72283,101471,-5,-0.167985
2026-02-05,28800,202602F1,P,64,0.1,5,72283,101471,-10,-0.167985
2026-02-05,28900,202602F1,P,77,0.1,7,72283,101471,-12,-0.167985
2026-02-05,29000,202602F1,P,5788,0.2,315,72283,101471,-972,-0.167985
2026-02-05,29100,202602F1,P,80,0.3,66,72283,101471,-13,-0.167985
2026-02-05,29200,202602F1,P,121,0.5,66,72283,101471,-20,-0.167985
2026-02-05,29300,202602F1,P,37,0.6,13,72283,101471,-6,-0.167985
2026-02-05,29400,202602F1,P,48,1.1,9,72283,101471,-8,-0.167985
2026-02-05,29500,202602F1,P,127,1.3,59,72283,101471,-21,-0.167985
2026-02-05,29600,202602F1,P,103,1.5,110,72283,101471,-17,-0.167985
2026-02-05,29700,202602F1,P,173,1.7,45,72283,101471,-29,-0.167985
2026-02-05,29800,202602F1,P,213,2.1,203,72283,101471,-35,-0.167985
2026-02-05,29900,202602F1,P,238,2.4,124,72283,101471,-39,-0.167985
2026-02-05,30000,202602F1,P,1866,2.7,3095,72283,101471,-313,-0.167985
2026-02-05,30100,202602F1,P,370,2.8,560,72283,101471,-62,-0.167985
2026-02-05,30200,202602F1,P,330,3.2,771,72283,101471,-55,-0.167985
2026-02-05,30300,202602F1,P,576,4.1,1320,72283,101471,-96,-0.167985
2026-02-05,30400,202602F1,P,857,6.1,1378,72283,101471,-143,-0.167985
2026-02-05,30500,202602F1,P,1328,7.2,2325,72283,101471,-223,-0.167985
2026-02-05,30600,202602F1,P,1150,10.0,2763,72283,101471,-193,-0.167985
2026-02-05,30700,202602F1,P,1364,12.5,2991,72283,101471,-229,-0.167985
2026-02-05,30750,202602F1,P,642,13.5,1669,72283,101471,-107,-0.167985
2026-02-05,30800,202602F1,C,1,1080.0,0,72283,101471,0,-0.167985
2026-02-05,30800,202602F1,P,2092,15.5,4051,72283,101471,-351,-0.167985
2026-02-05,30850,202602F1,P,876,17.0,2119,72283,101471,-147,-0.167985
2026-02-05,30900,202602F1,P,1375,20.0,3265,72283,101471,-230,-0.167985
2026-02-05,30950,202602F1,P,553,23.5,1607,72283,101471,-92,-0.167985
2026-02-05,31000,202602F1,P,2304,26.0,9060,72283,101471,-387,-0.167985
2026-02-05,31050,202602F1,P,887,29.5,2695,72283,101471,-149,-0.167985
2026-02-05,31100,202602F1,C,10,800.0,36,72283,101471,-1,-0.167985
2026-02-05,31100,202602F1,P,1747,33.5,6176,72283,101471,-293,-0.167985
2026-02-05,31150,202602F1,P,641,36.5,2535,72283,101471,-107,-0.167985
2026-02-05,31200,202602F1,P,1750,43.5,8443,72283,101471,-293,-0.167985
2026-02-05,31250,202602F1,C,2,660.0,2,72283,101471,0,-0.167985
2026-02-05,31250,202602F1,P,1132,49.0,4965,72283,101471,-190,-0.167985
2026-02-05,31300,202602F1,C,10,610.0,14,72283,101471,-1,-0.167985
2026-02-05,31300,202602F1,P,1965,55.0,7912,72283,101471,-330,-0.167985
2026-02-05,31350,202602F1,C,2,570.0,0,72283,101471,0,-0.167985
2026-02-05,31350,202602F1,P,1742,64.0,6576,72283,101471,-292,-0.167985
2026-02-05,31400,202602F1,C,17,530.0,22,72283,101471,-2,-0.167985
2026-02-05,31400,202602F1,P,2236,70.0,13022,72283,101471,-375,-0.167985
2026-02-05,31450,202602F1,C,8,489.0,39,72283,101471,-1,-0.167985
2026-02-05,31450,202602F1,P,1513,82.0,6994,72283,101471,-254,-0.167985
2026-02-05,31500,202602F1,C,39,450.0,155,72283,101471,-6,-0.167985
2026-02-05,31500,202602F1,P,2570,89.0,15616,72283,101471,-431,-0.167985
2026-02-05,31550,202602F1,C,13,409.0,77,72283,101471,-2,-0.167985
2026-02-05,31550,202602F1,P,944,104.0,6036,72283,101471,-158,-0.167985
2026-02-05,31600,202602F1,C,143,374.0,465,72283,101471,-24,-0.167985
2026-02-05,31600,202602F1,P,1573,115.0,12311,72283,101471,-264,-0.167985
2026-02-05,31650,202602F1,C,146,338.0,368,72283,101471,-24,-0.167985
2026-02-05,31650,202602F1,P,632,132.0,7175,72283,101471,-106,-0.167985
2026-02-05,31700,202602F1,C,180,299.0,903,72283,101471,-30,-0.167985
2026-02-05,31700,202602F1,P,1477,144.0,13270,72283,101471,-248,-0.167985
2026-02-05,31750,202602F1,C,113,271.0,700,72283,101471,-18,-0.167985
2026-02-05,31750,202602F1,P,958,164.0,7785,72283,101471,-160,-0.167985
2026-02-05,31800,202602F1,C,645,240.0,3357,72283,101471,-108,-0.167985
2026-02-05,31800,202602F1,P,1677,181.0,19166,72283,101471,-281,-0.167985
2026-02-05,31850,202602F1,C,410,207.0,2678,72283,101471,-68,-0.167985
2026-02-05,31850,202602F1,P,575,203.0,7255,72283,101471,-96,-0.167985
