date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-02-02,28100,202602W1,P,589,1.1,630,79717,100201,-67,-0.113852
2026-02-02,28200,202602W1,P,195,1.2,171,79717,100201,-22,-0.113852
2026-02-02,28300,202602W1,P,39,1.5,7,79717,100201,-4,-0.113852
2026-02-02,28400,202602W1,P,157,1.6,48,79717,100201,-17,-0.113852
2026-02-02,28500,202602W1,P,489,1.6,117,79717,100201,-55,-0.113852
2026-02-02,28600,202602W1,P,611,1.6,141,79717,100201,-69,-0.113852
2026-02-02,28700,202602W1,P,88,1.6,51,79717,100201,-10,-0.113852
2026-02-02,28800,202602W1,P,201,2.1,292,79717,100201,-22,-0.113852
2026-02-02,28900,202602W1,P,4999,2.5,2288,79717,100201,-569,-0.113852
2026-02-02,29000,202602W1,P,1895,2.9,1574,79717,100201,-215,-0.113852
2026-02-02,29100,202602W1,P,129,3.1,250,79717,100201,-14,-0.113852
2026-02-02,29200,202602W1,P,183,3.4,552,79717,100201,-20,-0.113852
2026-02-02,29300,202602W1,P,229,4.4,587,79717,100201,-26,-0.113852
2026-02-02,29400,202602W1,P,412,4.9,1023,79717,100201,-46,-0.113852
2026-02-02,29500,202602W1,P,615,5.9,1176,79717,100201,-70,-0.113852
2026-02-02,29600,202602W1,P,432,6.0,1979,79717,100201,-49,-0.113852
2026-02-02,29700,202602W1,P,363,8.3,1666,79717,100201,-41,-0.113852
2026-02-02,29800,202602W1,P,873,10.5,2970,79717,100201,-99,-0.113852
2026-02-02,29900,202602W1,P,1026,11.0,4016,79717,100201,-116,-0.113852
2026-02-02,30000,202602W1,C,5,1550.0,0,79717,100201,0,-0.113852
2026-02-02,30000,202602W1,P,2184,14.5,7555,79717,100201,-248,-0.113852
2026-02-02,30100,202602W1,P,975,17.0,2452,79717,100201,-111,-0.113852
2026-02-02,30200,202602W1,P,1332,21.5,3699,79717,100201,-151,-0.113852
2026-02-02,30300,202602W1,P,1253,26.0,3936,79717,100201,-142,-0.113852
2026-02-02,30350,202602W1,P,876,28.5,2512,79717,100201,-99,-0.113852
2026-02-02,30400,202602W1,P,1541,31.5,4687,79717,100201,-175,-0.113852
2026-02-02,30450,202602W1,P,405,33.5,1678,79717,100201,-46,-0.113852
2026-02-02,30500,202602W1,P,2158,38.0,7766,79717,100201,-245,-0.113852
2026-02-02,30550,202602W1,P,641,41.0,2523,79717,100201,-72,-0.113852
2026-02-02,30600,202602W1,P,1060,46.5,5851,79717,100201,-120,-0.113852
2026-02-02,30650,202602W1,C,1,935.0,1,79717,100201,0,-0.113852
2026-02-02,30650,202602W1,P,479,51.0,2628,79717,100201,-54,-0.113852
2026-02-02,30700,202602W1,C,3,895.0,1,79717,100201,0,-0.113852
2026-02-02,30700,202602W1,P,1327,56.0,6484,79717,100201,-151,-0.113852
2026-02-02,30750,202602W1,P,955,60.0,5460,79717,100201,-108,-0.113852
2026-02-02,30800,202602W1,P,1181,68.0,6794,79717,100201,-134,-0.113852
2026-02-02,30850,202602W1,C,2,760.0,0,79717,100201,0,-0.113852
2026-02-02,30850,202602W1,P,685,74.0,3794,79717,100201,-77,-0.113852
2026-02-02,30900,202602W1,C,5,715.0,9,79717,100201,0,-0.113852
2026-02-02,30900,202602W1,P,1106,81.0,6466,79717,100201,-125,-0.113852
2026-02-02,30950,202602W1,C,2,675.0,2,79717,100201,0,-0.113852
2026-02-02,30950,202602W1,P,586,90.0,3911,79717,100201,-66,-0.113852
2026-02-02,31000,202602W1,C,16,635.0,38,79717,100201,-1,-0.113852
2026-02-02,31000,202602W1,P,2345,98.0,22269,79717,100201,-266,-0.113852
2026-02-02,31050,202602W1,C,5,595.0,11,79717,100201,0,-0.113852
2026-02-02,31050,202602W1,P,455,108.0,4623,79717,100201,-51,-0.113852
2026-02-02,31100,202602W1,C,15,555.0,40,79717,100201,-1,-0.113852
2026-02-02,31100,202602W1,P,1023,119.0,6594,79717,100201,-116,-0.113852
2026-02-02,31150,202602W1,C,17,515.0,60,79717,100201,-1,-0.113852
2026-02-02,31150,202602W1,P,349,127.0,4232,79717,100201,-39,-0.113852
2026-02-02,31200,202602W1,C,33,478.0,162,79717,100201,-3,-0.113852
2026-02-02,31200,202602W1,P,1322,142.0,11760,79717,100201,-150,-0.113852
2026-02-02,31250,202602W1,C,67,441.0,175,79717,100201,-7,-0.113852
2026-02-02,31250,202602W1,P,615,155.0,5894,79717,100201,-70,-0.113852
2026-02-02,31300,202602W1,C,182,406.0,622,79717,100201,-20,-0.113852
2026-02-02,31300,202602W1,P,1308,172.0,12411,79717,100201,-148,-0.113852
2026-02-02,31350,202602W1,C,72,373.0,381,79717,100201,-8,-0.113852
2026-02-02,31350,202602W1,P,709,187.0,7026,79717,100201,-80,-0.113852
2026-02-02,31400,202602W1,C,188,336.0,1274,79717,100201,-21,-0.113852
2026-02-02,31400,202602W1,P,1206,203.0,13155,79717,100201,-137,-0.113852
2026-02-02,31450,202602W1,C,278,309.0,1692,79717,100201,-31,-0.113852
2026-02-02,31450,202602W1,P,550,217.0,6875,79717,100201,-62,-0.113852
2026-02-02,31500,202602W1,C,631,275.0,3956,79717,100201,-71,-0.113852
2026-02-02,31500,202602W1,P,1636,242.0,19596,79717,100201,-186,-0.113852
2026-02-02,31550,202602W1,C,224,251.0,2559,79717,100201,-25,-0.113852
2026-02-02,31550,202602W1,P,616,260.0,7203,79717,100201,-70,-0.113852
2026-02-02,31600,202602W1,C,1044,218.0,6054,79717,100201,-118,-0.113852
2026-02-02,31600,202602W1,P,1188,285.0,12557,79717,100201,-135,-0.113852
2026-02-02,31650,202602W1,C,468,193.0,3429,79717,100201,-53,-0.113852
2026-02-02,31650,202602W1,P,417,310.0,6149,79717,100201,-47,-0.113852
2026-02-02,31700,202602W1,C,1137,168.0,8967,79717,100201,-129,-0.113852
2026-02-02,31700,202602W1,P,834,338.0,10607,79717,100201,-94,-0.113852
2026-02-02,31750,202602W1,C,695,148.0,4761,79717,100201,-79,-0.113852
2026-02-02,31750,202602W1,P,449,362.0,6463,79717,100201,-51,-0.113852
2026-02-02,31800,202602W1,C,1833,126.0,13422,79717,100201,-208,-0.113852
2026-02-02,31800,202602W1,P,879,390.0,10406,79717,100201,-100,-0.113852
2026-02-02,31850,202602W1,C,692,107.0,6272,79717,100201,-78,-0.113852
2026-02-02,31850,202602W1,P,396,423.0,5306,79717,100201,-45,-0.113852
2026-02-02,31900,202602W1,C,1694,90.0,12489,79717,100201,-192,-0.113852
2026-02-02,31900,202602W1,P,884,460.0,8801,79717,100201,-100,-0.113852
2026-02-02,31950,202602W1,C,1114,77.0,7992,79717,100201,-126,-0.113852
2026-02-02,31950,202602W1,P,257,492.0,4066,79717,100201,-29,-0.113852
2026-02-02,32000,202602W1,C,3678,62.0,26403,79717,100201,-418,-0.113852
2026-02-02,32000,202602W1,P,816,530.0,10580,79717,100201,-92,-0.113852
2026-02-02,32050,202602W1,C,1313,52.0,12894,79717,100201,-149,-0.113852
2026-02-02,32050,202602W1,P,247,565.0,3197,79717,100201,-28,-0.113852
2026-02-02,32100,202602W1,C,2471,42.0,17269,79717,100201,-281,-0.113852
2026-02-02,32100,202602W1,P,506,605.0,4270,79717,100201,-57,-0.113852
2026-02-02,32150,202602W1,C,1195,34.0,10563,79717,100201,-136,-0.113852
2026-02-02,32150,202602W1,P,236,650.0,1927,79717,100201,-26,-0.113852
2026-02-02,32200,202602W1,C,3344,26.5,23689,79717,100201,-380,-0.113852
2026-02-02,32200,202602W1,P,559,695.0,3286,79717,100201,-63,-0.113852
2026-02-02,32250,202602W1,C,1937,20.5,14554,79717,100201,-220,-0.113852
2026-02-02,32250,202602W1,P,216,735.0,1110,79717,100201,-24,-0.113852
2026-02-02,32300,202602W1,C,5008,16.0,26565,79717,100201,-570,-0.113852
2026-02-02,32300,202602W1,P,383,780.0,1557,79717,100201,-43,-0.113852
2026-02-02,32350,202602W1,C,3271,12.5,14840,79717,100201,-372,-0.113852
2026-02-02,32350,202602W1,P,566,825.0,1775,79717,100201,-64,-0.113852
2026-02-02,32400,202602W1,C,3365,10.5,21196,79717,100201,-383,-0.113852
2026-02-02,32400,202602W1,P,479,875.0,643,79717,100201,-54,-0.113852
2026-02-02,32450,202602W1,C,2830,7.5,13392,79717,100201,-322,-0.113852
2026-02-02,32450,202602W1,P,191,920.0,301,79717,100201,-21,-0.113852
2026-02-02,32500,202602W1,C,5231,6.9,26696,79717,100201,-595,-0.113852
2026-02-02,32500,202602W1,P,311,970.0,816,79717,100201,-35,-0.113852
2026-02-02,32550,202602W1,C,2299,5.2,11710,79717,100201,-261,-0.113852
2026-02-02,32550,202602W1,P,106,1020.0,159,79717,100201,-12,-0.113852
2026-02-02,32600,202602W1,C,2685,4.2,15242,79717,100201,-305,-0.113852
2026-02-02,32600,202602W1,P,256,1070.0,143,79717,100201,-29,-0.113852
2026-02-02,32650,202602W1,C,2021,3.3,9448,79717,100201,-230,-0.113852
2026-02-02,32650,202602W1,P,139,1120.0,74,79717,100201,-15,-0.113852
2026-02-02,32700,202602W1,C,1946,2.8,10740,79717,100201,-221,-0.113852
2026-02-02,32700,202602W1,P,254,1170.0,92,79717,100201,-28,-0.113852
2026-02-02,32750,202602W1,C,1463,2.3,6933,79717,100201,-166,-0.113852
2026-02-02,32750,202602W1,P,108,1220.0,26,79717,100201,-12,-0.113852
2026-02-02,32800,202602W1,C,5585,1.9,11836,79717,100201,-635,-0.113852
2026-02-02,32800,202602W1,P,323,1270.0,80,79717,100201,-36,-0.113852
2026-02-02,32850,202602W1,C,1214,1.4,4628,79717,100201,-138,-0.113852
2026-02-02,32850,202602W1,P,98,1320.0,13,79717,100201,-11,-0.113852
2026-02-02,32900,202602W1,C,2044,1.4,6972,79717,100201,-232,-0.113852
2026-02-02,32900,202602W1,P,97,1370.0,45,79717,100201,-11,-0.113852
2026-02-02,32950,202602W1,C,1089,1.3,3403,79717,100201,-123,-0.113852
2026-02-02,32950,202602W1,P,53,1420.0,13,79717,100201,-6,-0.113852
2026-02-02,33000,202602W1,C,3415,1.0,9370,79717,100201,-388,-0.113852
2026-02-02,33000,202602W1,P,145,1460.0,20,79717,100201,-16,-0.113852
2026-02-02,33050,202602W1,C,1114,1.0,2350,79717,100201,-126,-0.113852
2026-02-02,33050,202602W1,P,52,1510.0,1,79717,100201,-5,-0.113852
2026-02-02,33100,202602W1,C,1611,1.0,3812,79717,100201,-183,-0.113852
2026-02-02,33100,202602W1,P,98,1560.0,34,79717,100201,-11,-0.113852
2026-02-02,33150,202602W1,C,395,0.8,1353,79717,100201,-44,-0.113852
2026-02-02,33150,202602W1,P,21,1610.0,0,79717,100201,-2,-0.113852
2026-02-02,33200,202602W1,C,1665,0.8,2187,79717,100201,-189,-0.113852
2026-02-02,33200,202602W1,P,15,1660.0,4,79717,100201,-1,-0.113852
2026-02-02,33250,202602W1,C,364,0.6,587,79717,100201,-41,-0.113852
2026-02-02,33250,202602W1,P,2,1710.0,1,79717,100201,0,-0.113852
2026-02-02,33300,202602W1,C,1032,0.6,1293,79717,100201,-117,-0.113852
2026-02-02,33300,202602W1,P,37,1760.0,7,79717,100201,-4,-0.113852
2026-02-02,33350,202602W1,C,199,0.6,376,79717,100201,-22,-0.113852
2026-02-02,33350,202602W1,P,6,1810.0,0,79717,100201,0,-0.113852
2026-02-02,33400,202602W1,C,1278,0.6,569,79717,100201,-145,-0.113852
2026-02-02,33400,202602W1,P,15,1860.0,20,79717,100201,-1,-0.113852
2026-02-02,33450,202602W1,C,484,0.6,96,79717,100201,-55,-0.113852
2026-02-02,33500,202602W1,C,1791,0.5,1880,79717,100201,-203,-0.113852
2026-02-02,33500,202602W1,P,4,1960.0,0,79717,100201,0,-0.113852
2026-02-02,33550,202602W1,C,275,0.5,395,79717,100201,-31,-0.113852
2026-02-02,33600,202602W1,C,551,0.5,465,79717,100201,-62,-0.113852
2026-02-02,33600,202602W1,P,4,2060.0,0,79717,100201,0,-0.113852
2026-02-02,33650,202602W1,C,170,0.4,187,79717,100201,-19,-0.113852
2026-02-02,33700,202602W1,C,3465,0.3,234,79717,100201,-394,-0.113852
2026-02-02,33700,202602W1,P,2,2160.0,0,79717,100201,0,-0.113852
2026-02-02,33750,202602W1,C,82,0.3,50,79717,100201,-9,-0.113852
2026-02-02,33800,202602W1,C,4136,0.3,151,79717,100201,-470,-0.113852
2026-02-02,33800,202602W1,P,3,2260.0,0,79717,100201,0,-0.113852
2026-02-02,33900,202602W1,C,877,0.3,163,79717,100201,-99,-0.113852
2026-02-02,33900,202602W1,P,2,2360.0,1,79717,100201,0,-0.113852
2026-02-02,34000,202602W1,C,1597,0.3,64,79717,100201,-181,-0.113852
2026-02-02,34100,202602W1,C,212,0.2,34,79717,100201,-24,-0.113852
2026-02-02,34200,202602W1,C,347,0.2,28,79717,100201,-39,-0.113852
2026-02-02,34300,202602W1,C,245,0.2,5,79717,100201,-27,-0.113852
2026-02-02,34400,202602W1,C,55,0.1,5,79717,100201,-6,-0.113852
2026-02-02,34500,202602W1,C,4282,0.1,1,79717,100201,-487,-0.113852
2026-02-02,34600,202602W1,C,23,0.1,0,79717,100201,-2,-0.113852
2026-02-02,34700,202602W1,C,36,0.1,0,79717,100201,-4,-0.113852
2026-02-02,34800,202602W1,C,89,0.1,1,79717,100201,-10,-0.113852
2026-02-02,34900,202602W1,C,9,0.1,0,79717,100201,-1,-0.113852
2026-02-02,35000,202602W1,C,568,0.1,17,79717,100201,-64,-0.113852
2026-02-02,35100,202602W1,C,7,0.1,0,79717,100201,0,-0.113852
2026-02-02,35200,202602W1,C,20,0.1,0,79717,100201,-2,-0.113852
2026-02-02,35300,202602W1,C,30,0.1,0,79717,100201,-3,-0.113852
