date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-01-14,25800,202601W2,C,1,0.0,0,53994,74189,0,-0.157548
2026-01-14,25800,202601W2,P,437,0.0,8,53994,74189,-68,-0.157548
2026-01-14,25900,202601W2,C,1,0.0,0,53994,74189,0,-0.157548
2026-01-14,25900,202601W2,P,14,0.0,0,53994,74189,-2,-0.157548
2026-01-14,26000,202601W2,P,70,0.0,0,53994,74189,-11,-0.157548
2026-01-14,26100,202601W2,P,5,0.0,1,53994,74189,0,-0.157548
2026-01-14,26200,202601W2,P,19,0.0,2,53994,74189,-2,-0.157548
2026-01-14,26300,202601W2,P,100,0.0,0,53994,74189,-15,-0.157548
2026-01-14,26400,202601W2,P,33,0.0,2,53994,74189,-5,-0.157548
2026-01-14,26500,202601W2,P,45,0.0,0,53994,74189,-7,-0.157548
2026-01-14,26600,202601W2,P,35,0.0,2,53994,74189,-5,-0.157548
2026-01-14,26700,202601W2,P,40,0.0,0,53994,74189,-6,-0.157548
2026-01-14,26800,202601W2,P,61,0.0,0,53994,74189,-9,-0.157548
2026-01-14,26900,202601W2,P,26,0.0,0,53994,74189,-4,-0.157548
2026-01-14,27000,202601W2,P,289,0.0,41,53994,74189,-45,-0.157548
2026-01-14,27100,202601W2,P,21,0.0,60,53994,74189,-3,-0.157548
2026-01-14,27200,202601W2,P,130,0.0,212,53994,74189,-20,-0.157548
2026-01-14,27300,202601W2,P,50,0.0,0,53994,74189,-7,-0.157548
2026-01-14,27400,202601W2,P,39,0.0,0,53994,74189,-6,-0.157548
2026-01-14,27500,202601W2,P,211,0.0,72,53994,74189,-33,-0.157548
2026-01-14,27600,202601W2,P,72,0.0,10,53994,74189,-11,-0.157548
2026-01-14,27700,202601W2,P,96,0.0,49,53994,74189,-15,-0.157548
2026-01-14,27800,202601W2,P,46,0.0,0,53994,74189,-7,-0.157548
2026-01-14,27850,202601W2,P,19,0.0,0,53994,74189,-2,-0.157548
2026-01-14,27900,202601W2,P,31,0.0,2,53994,74189,-4,-0.157548
2026-01-14,27950,202601W2,P,15,0.0,0,53994,74189,-2,-0.157548
2026-01-14,28000,202601W2,P,1906,0.0,88,53994,74189,-300,-0.157548
2026-01-14,28050,202601W2,P,36,0.0,4,53994,74189,-5,-0.157548
2026-01-14,28100,202601W2,P,35,0.0,16,53994,74189,-5,-0.157548
2026-01-14,28150,202601W2,P,19,0.0,1,53994,74189,-2,-0.157548
2026-01-14,28200,202601W2,C,1,0.0,0,53994,74189,0,-0.157548
2026-01-14,28200,202601W2,P,723,0.0,30,53994,74189,-113,-0.157548
2026-01-14,28250,202601W2,P,21,0.0,26,53994,74189,-3,-0.157548
2026-01-14,28300,202601W2,C,4,0.0,0,53994,74189,0,-0.157548
2026-01-14,28300,202601W2,P,149,0.0,83,53994,74189,-23,-0.157548
2026-01-14,28350,202601W2,P,41,0.0,12,53994,74189,-6,-0.157548
2026-01-14,28400,202601W2,P,249,0.0,129,53994,74189,-39,-0.157548
2026-01-14,28450,202601W2,P,49,0.0,54,53994,74189,-7,-0.157548
2026-01-14,28500,202601W2,C,2,0.0,0,53994,74189,0,-0.157548
2026-01-14,28500,202601W2,P,376,0.0,34,53994,74189,-59,-0.157548
2026-01-14,28550,202601W2,P,63,0.0,5,53994,74189,-9,-0.157548
2026-01-14,28600,202601W2,C,1,0.0,1,53994,74189,0,-0.157548
2026-01-14,28600,202601W2,P,264,0.0,91,53994,74189,-41,-0.157548
2026-01-14,28650,202601W2,C,1,0.0,1,53994,74189,0,-0.157548
2026-01-14,28650,202601W2,P,92,0.0,43,53994,74189,-14,-0.157548
2026-01-14,28700,202601W2,C,1,0.0,1,53994,74189,0,-0.157548
2026-01-14,28700,202601W2,P,333,0.0,73,53994,74189,-52,-0.157548
2026-01-14,28750,202601W2,P,160,0.0,31,53994,74189,-25,-0.157548
2026-01-14,28800,202601W2,C,2,0.0,0,53994,74189,0,-0.157548
2026-01-14,28800,202601W2,P,548,0.0,29,53994,74189,-86,-0.157548
2026-01-14,28850,202601W2,C,20,0.0,0,53994,74189,-3,-0.157548
2026-01-14,28850,202601W2,P,115,0.0,13,53994,74189,-18,-0.157548
2026-01-14,28900,202601W2,C,22,0.0,1,53994,74189,-3,-0.157548
2026-01-14,28900,202601W2,P,412,0.0,54,53994,74189,-64,-0.157548
2026-01-14,28950,202601W2,C,21,0.0,0,53994,74189,-3,-0.157548
2026-01-14,28950,202601W2,P,288,0.0,26,53994,74189,-45,-0.157548
2026-01-14,29000,202601W2,C,23,0.0,0,53994,74189,-3,-0.157548
2026-01-14,29000,202601W2,P,1638,0.0,236,53994,74189,-258,-0.157548
2026-01-14,29050,202601W2,C,20,0.0,0,53994,74189,-3,-0.157548
2026-01-14,29050,202601W2,P,415,0.0,183,53994,74189,-65,-0.157548
2026-01-14,29100,202601W2,C,20,0.0,0,53994,74189,-3,-0.157548
2026-01-14,29100,202601W2,P,450,0.0,46,53994,74189,-70,-0.157548
2026-01-14,29150,202601W2,C,21,0.0,0,53994,74189,-3,-0.157548
2026-01-14,29150,202601W2,P,450,0.0,90,53994,74189,-70,-0.157548
2026-01-14,29200,202601W2,C,27,0.0,0,53994,74189,-4,-0.157548
2026-01-14,29200,202601W2,P,929,0.0,146,53994,74189,-146,-0.157548
2026-01-14,29250,202601W2,C,21,0.0,1,53994,74189,-3,-0.157548
2026-01-14,29250,202601W2,P,406,0.0,46,53994,74189,-63,-0.157548
2026-01-14,29300,202601W2,C,22,0.0,1,53994,74189,-3,-0.157548
2026-01-14,29300,202601W2,P,879,0.0,141,53994,74189,-138,-0.157548
2026-01-14,29350,202601W2,C,20,0.0,0,53994,74189,-3,-0.157548
