date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-01-19,22400,202601,C,1,9270.0,0,75290,86673,0,-0.070281
2026-01-19,22400,202601,P,2112,0.2,16,75290,86673,-148,-0.070281
2026-01-19,22500,202601,P,144,0.2,8,75290,86673,-10,-0.070281
2026-01-19,22600,202601,P,64,0.2,1,75290,86673,-4,-0.070281
2026-01-19,22700,202601,C,2,8970.0,0,75290,86673,0,-0.070281
2026-01-19,22700,202601,P,114,0.2,3,75290,86673,-8,-0.070281
2026-01-19,22800,202601,P,39,0.2,0,75290,86673,-2,-0.070281
2026-01-19,22900,202601,C,2,8770.0,0,75290,86673,0,-0.070281
2026-01-19,22900,202601,P,31,0.2,0,75290,86673,-2,-0.070281
2026-01-19,23000,202601,P,308,0.2,1,75290,86673,-21,-0.070281
2026-01-19,23100,202601,C,1,8570.0,0,75290,86673,0,-0.070281
2026-01-19,23100,202601,P,480,0.2,0,75290,86673,-33,-0.070281
2026-01-19,23200,202601,P,451,0.2,0,75290,86673,-31,-0.070281
2026-01-19,23300,202601,P,66,0.2,0,75290,86673,-4,-0.070281
2026-01-19,23400,202601,P,19,0.2,0,75290,86673,-1,-0.070281
2026-01-19,23500,202601,P,431,0.2,0,75290,86673,-30,-0.070281
2026-01-19,23600,202601,P,177,0.2,0,75290,86673,-12,-0.070281
2026-01-19,23700,202601,P,18,0.2,0,75290,86673,-1,-0.070281
2026-01-19,23800,202601,P,259,0.2,1,75290,86673,-18,-0.070281
2026-01-19,23900,202601,P,549,0.2,0,75290,86673,-38,-0.070281
2026-01-19,24000,202601,P,920,0.2,31,75290,86673,-64,-0.070281
2026-01-19,24100,202601,P,298,0.2,0,75290,86673,-20,-0.070281
2026-01-19,24200,202601,P,241,0.2,4,75290,86673,-16,-0.070281
2026-01-19,24300,202601,P,504,0.2,0,75290,86673,-35,-0.070281
2026-01-19,24400,202601,C,1,7270.0,0,75290,86673,0,-0.070281
2026-01-19,24400,202601,P,491,0.2,2,75290,86673,-34,-0.070281
2026-01-19,24500,202601,P,581,0.2,0,75290,86673,-40,-0.070281
2026-01-19,24600,202601,P,84,0.2,0,75290,86673,-5,-0.070281
2026-01-19,24700,202601,P,42,0.2,0,75290,86673,-2,-0.070281
2026-01-19,24800,202601,P,63,0.2,0,75290,86673,-4,-0.070281
2026-01-19,24900,202601,P,153,0.2,0,75290,86673,-10,-0.070281
2026-01-19,25000,202601,P,916,0.2,7,75290,86673,-64,-0.070281
2026-01-19,25100,202601,P,86,0.2,1,75290,86673,-6,-0.070281
2026-01-19,25200,202601,P,325,0.2,0,75290,86673,-22,-0.070281
2026-01-19,25300,202601,P,320,0.2,3,75290,86673,-22,-0.070281
2026-01-19,25400,202601,P,352,0.2,1,75290,86673,-24,-0.070281
2026-01-19,25500,202601,C,1,6170.0,0,75290,86673,0,-0.070281
2026-01-19,25500,202601,P,372,0.2,10,75290,86673,-26,-0.070281
2026-01-19,25600,202601,P,343,0.2,2,75290,86673,-24,-0.070281
2026-01-19,25700,202601,P,459,0.2,0,75290,86673,-32,-0.070281
2026-01-19,25800,202601,C,1,5870.0,0,75290,86673,0,-0.070281
2026-01-19,25800,202601,P,261,0.2,6,75290,86673,-18,-0.070281
2026-01-19,25900,202601,P,287,0.2,9,75290,86673,-20,-0.070281
2026-01-19,26000,202601,C,1,5670.0,0,75290,86673,0,-0.070281
2026-01-19,26000,202601,P,1247,0.2,127,75290,86673,-87,-0.070281
2026-01-19,26100,202601,P,349,0.2,1,75290,86673,-24,-0.070281
2026-01-19,26200,202601,C,2,5470.0,0,75290,86673,0,-0.070281
2026-01-19,26200,202601,P,457,0.3,63,75290,86673,-32,-0.070281
2026-01-19,26300,202601,C,2,5370.0,0,75290,86673,0,-0.070281
2026-01-19,26300,202601,P,1385,0.3,12,75290,86673,-97,-0.070281
2026-01-19,26400,202601,C,24,5270.0,1,75290,86673,-1,-0.070281
2026-01-19,26400,202601,P,1394,0.3,31,75290,86673,-97,-0.070281
2026-01-19,26500,202601,C,19,5170.0,0,75290,86673,-1,-0.070281
2026-01-19,26500,202601,P,760,0.3,31,75290,86673,-53,-0.070281
2026-01-19,26600,202601,C,17,5070.0,0,75290,86673,-1,-0.070281
2026-01-19,26600,202601,P,1103,0.3,6,75290,86673,-77,-0.070281
2026-01-19,26700,202601,C,9,4970.0,1,75290,86673,0,-0.070281
2026-01-19,26700,202601,P,937,0.3,58,75290,86673,-65,-0.070281
2026-01-19,26800,202601,C,23,4870.0,0,75290,86673,-1,-0.070281
2026-01-19,26800,202601,P,707,0.3,381,75290,86673,-49,-0.070281
2026-01-19,26900,202601,C,28,4770.0,0,75290,86673,-1,-0.070281
2026-01-19,26900,202601,P,607,0.4,14,75290,86673,-42,-0.070281
2026-01-19,27000,202601,C,24,4670.0,0,75290,86673,-1,-0.070281
2026-01-19,27000,202601,P,1544,0.4,145,75290,86673,-108,-0.070281
