date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-01-26,27600,202601W4,P,257,0.1,8,61572,81775,-36,-0.140938
2026-01-26,27700,202601W4,P,30,0.1,0,61572,81775,-4,-0.140938
2026-01-26,27800,202601W4,P,43,0.1,14,61572,81775,-6,-0.140938
2026-01-26,27900,202601W4,P,212,0.1,0,61572,81775,-29,-0.140938
2026-01-26,28000,202601W4,P,133,0.1,6,61572,81775,-18,-0.140938
2026-01-26,28100,202601W4,P,35,0.1,0,61572,81775,-4,-0.140938
2026-01-26,28200,202601W4,P,47,0.1,25,61572,81775,-6,-0.140938
2026-01-26,28300,202601W4,P,57,0.1,9,61572,81775,-8,-0.140938
2026-01-26,28400,202601W4,P,38,0.1,0,61572,81775,-5,-0.140938
2026-01-26,28500,202601W4,P,1046,0.2,95,61572,81775,-147,-0.140938
2026-01-26,28600,202601W4,P,108,0.2,18,61572,81775,-15,-0.140938
2026-01-26,28700,202601W4,P,28,0.3,14,61572,81775,-3,-0.140938
2026-01-26,28800,202601W4,P,231,0.6,24,61572,81775,-32,-0.140938
2026-01-26,28900,202601W4,P,112,0.6,27,61572,81775,-15,-0.140938
2026-01-26,29000,202601W4,P,1044,0.6,135,61572,81775,-147,-0.140938
2026-01-26,29100,202601W4,P,94,0.6,61,61572,81775,-13,-0.140938
2026-01-26,29200,202601W4,P,193,0.7,35,61572,81775,-27,-0.140938
2026-01-26,29300,202601W4,C,1,2770.0,0,61572,81775,0,-0.140938
2026-01-26,29300,202601W4,P,513,0.7,21,61572,81775,-72,-0.140938
2026-01-26,29400,202601W4,P,82,0.7,27,61572,81775,-11,-0.140938
2026-01-26,29500,202601W4,P,352,0.8,112,61572,81775,-49,-0.140938
2026-01-26,29600,202601W4,P,284,0.9,51,61572,81775,-40,-0.140938
2026-01-26,29700,202601W4,P,202,1.1,142,61572,81775,-28,-0.140938
2026-01-26,29800,202601W4,C,1,2270.0,0,61572,81775,0,-0.140938
2026-01-26,29800,202601W4,P,218,1.2,118,61572,81775,-30,-0.140938
2026-01-26,29850,202601W4,P,89,1.3,15,61572,81775,-12,-0.140938
2026-01-26,29900,202601W4,C,1,2170.0,0,61572,81775,0,-0.140938
