date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-02-10,28400,202602W2,P,1512,0.2,581,84243,94098,-83,-0.055259
2026-02-10,28500,202602W2,P,344,0.2,148,84243,94098,-19,-0.055259
2026-02-10,28600,202602W2,P,141,0.2,31,84243,94098,-7,-0.055259
2026-02-10,28700,202602W2,P,108,0.2,39,84243,94098,-5,-0.055259
2026-02-10,28800,202602W2,P,135,0.2,51,84243,94098,-7,-0.055259
2026-02-10,28900,202602W2,P,179,0.2,79,84243,94098,-9,-0.055259
2026-02-10,29000,202602W2,P,3056,0.2,122,84243,94098,-168,-0.055259
2026-02-10,29100,202602W2,P,288,0.2,197,84243,94098,-15,-0.055259
2026-02-10,29200,202602W2,P,495,0.2,411,84243,94098,-27,-0.055259
2026-02-10,29300,202602W2,P,271,0.2,184,84243,94098,-14,-0.055259
2026-02-10,29400,202602W2,P,322,0.2,168,84243,94098,-17,-0.055259
2026-02-10,29500,202602W2,P,396,0.2,285,84243,94098,-21,-0.055259
2026-02-10,29600,202602W2,P,330,0.3,260,84243,94098,-18,-0.055259
2026-02-10,29700,202602W2,P,206,0.3,322,84243,94098,-11,-0.055259
2026-02-10,29800,202602W2,P,837,0.3,315,84243,94098,-46,-0.055259
2026-02-10,29900,202602W2,P,419,0.4,367,84243,94098,-23,-0.055259
2026-02-10,30000,202602W2,C,5,3170.0,0,84243,94098,0,-0.055259
2026-02-10,30000,202602W2,P,2460,0.5,620,84243,94098,-135,-0.055259
2026-02-10,30100,202602W2,P,340,0.6,129,84243,94098,-18,-0.055259
2026-02-10,30200,202602W2,P,574,0.6,339,84243,94098,-31,-0.055259
2026-02-10,30300,202602W2,P,505,0.7,252,84243,94098,-27,-0.055259
2026-02-10,30400,202602W2,P,547,0.7,252,84243,94098,-30,-0.055259
2026-02-10,30500,202602W2,P,1041,0.7,1044,84243,94098,-57,-0.055259
2026-02-10,30600,202602W2,C,1,2570.0,0,84243,94098,0,-0.055259
2026-02-10,30600,202602W2,P,575,0.9,375,84243,94098,-31,-0.055259
2026-02-10,30700,202602W2,C,2,2470.0,0,84243,94098,0,-0.055259
2026-02-10,30700,202602W2,P,786,1.0,519,84243,94098,-43,-0.055259
2026-02-10,30750,202602W2,C,2,2420.0,0,84243,94098,0,-0.055259
2026-02-10,30750,202602W2,P,280,1.1,33,84243,94098,-15,-0.055259
2026-02-10,30800,202602W2,C,11,2370.0,0,84243,94098,0,-0.055259
2026-02-10,30800,202602W2,P,1034,1.1,415,84243,94098,-57,-0.055259
2026-02-10,30850,202602W2,P,312,1.1,283,84243,94098,-17,-0.055259
2026-02-10,30900,202602W2,C,1,2270.0,0,84243,94098,0,-0.055259
2026-02-10,30900,202602W2,P,354,1.1,321,84243,94098,-19,-0.055259
2026-02-10,30950,202602W2,P,485,1.2,343,84243,94098,-26,-0.055259
2026-02-10,31000,202602W2,C,9,2170.0,2,84243,94098,0,-0.055259
2026-02-10,31000,202602W2,P,2948,1.2,1324,84243,94098,-162,-0.055259
2026-02-10,31050,202602W2,C,1,2120.0,0,84243,94098,0,-0.055259
2026-02-10,31050,202602W2,P,870,1.2,448,84243,94098,-48,-0.055259
2026-02-10,31100,202602W2,C,10,2070.0,0,84243,94098,0,-0.055259
2026-02-10,31100,202602W2,P,1456,1.2,754,84243,94098,-80,-0.055259
2026-02-10,31150,202602W2,C,2,2020.0,0,84243,94098,0,-0.055259
2026-02-10,31150,202602W2,P,318,1.3,425,84243,94098,-17,-0.055259
2026-02-10,31200,202602W2,C,32,1970.0,74,84243,94098,-1,-0.055259
2026-02-10,31200,202602W2,P,910,1.3,1026,84243,94098,-50,-0.055259
2026-02-10,31250,202602W2,C,9,1920.0,0,84243,94098,0,-0.055259
2026-02-10,31250,202602W2,P,415,1.4,439,84243,94098,-22,-0.055259
2026-02-10,31300,202602W2,C,73,1870.0,12,84243,94098,-4,-0.055259
2026-02-10,31300,202602W2,P,1071,1.5,1366,84243,94098,-59,-0.055259
2026-02-10,31350,202602W2,C,38,1820.0,5,84243,94098,-2,-0.055259
2026-02-10,31350,202602W2,P,322,1.5,451,84243,94098,-17,-0.055259
2026-02-10,31400,202602W2,C,80,1770.0,7,84243,94098,-4,-0.055259
2026-02-10,31400,202602W2,P,1145,1.5,1654,84243,94098,-63,-0.055259
2026-02-10,31450,202602W2,C,59,1720.0,2,84243,94098,-3,-0.055259
2026-02-10,31450,202602W2,P,765,1.6,862,84243,94098,-42,-0.055259
2026-02-10,31500,202602W2,C,122,1670.0,20,84243,94098,-6,-0.055259
2026-02-10,31500,202602W2,P,2254,1.6,3834,84243,94098,-124,-0.055259
2026-02-10,31550,202602W2,C,84,1620.0,2,84243,94098,-4,-0.055259
2026-02-10,31550,202602W2,P,623,1.6,1450,84243,94098,-34,-0.055259
2026-02-10,31600,202602W2,C,465,1570.0,91,84243,94098,-25,-0.055259
2026-02-10,31600,202602W2,P,2687,1.7,3278,84243,94098,-148,-0.055259
2026-02-10,31650,202602W2,C,128,1520.0,8,84243,94098,-7,-0.055259
2026-02-10,31650,202602W2,P,916,1.7,1523,84243,94098,-50,-0.055259
2026-02-10,31700,202602W2,C,144,1470.0,39,84243,94098,-7,-0.055259
2026-02-10,31700,202602W2,P,1806,1.7,4132,84243,94098,-99,-0.055259
2026-02-10,31750,202602W2,C,205,1420.0,71,84243,94098,-11,-0.055259
2026-02-10,31750,202602W2,P,627,1.8,2226,84243,94098,-34,-0.055259
2026-02-10,31800,202602W2,C,377,1370.0,267,84243,94098,-20,-0.055259
2026-02-10,31800,202602W2,P,5338,2.0,7537,84243,94098,-294,-0.055259
2026-02-10,31850,202602W2,C,138,1320.0,78,84243,94098,-7,-0.055259
2026-02-10,31850,202602W2,P,951,2.3,3216,84243,94098,-52,-0.055259
2026-02-10,31900,202602W2,C,265,1270.0,90,84243,94098,-14,-0.055259
2026-02-10,31900,202602W2,P,1696,2.3,4924,84243,94098,-93,-0.055259
2026-02-10,31950,202602W2,C,103,1220.0,111,84243,94098,-5,-0.055259
2026-02-10,31950,202602W2,P,892,2.8,3403,84243,94098,-49,-0.055259
2026-02-10,32000,202602W2,C,341,1170.0,785,84243,94098,-18,-0.055259
2026-02-10,32000,202602W2,P,3530,3.0,13978,84243,94098,-195,-0.055259
2026-02-10,32050,202602W2,C,161,1120.0,269,84243,94098,-8,-0.055259
2026-02-10,32050,202602W2,P,688,3.1,3734,84243,94098,-38,-0.055259
2026-02-10,32100,202602W2,C,711,1070.0,551,84243,94098,-39,-0.055259
2026-02-10,32100,202602W2,P,2245,3.9,7608,84243,94098,-124,-0.055259
2026-02-10,32150,202602W2,C,291,1020.0,239,84243,94098,-16,-0.055259
2026-02-10,32150,202602W2,P,767,4.3,3928,84243,94098,-42,-0.055259
2026-02-10,32200,202602W2,C,462,975.0,912,84243,94098,-25,-0.055259
2026-02-10,32200,202602W2,P,2057,5.0,12049,84243,94098,-113,-0.055259
2026-02-10,32250,202602W2,C,251,925.0,454,84243,94098,-13,-0.055259
2026-02-10,32250,202602W2,P,1302,5.7,7414,84243,94098,-71,-0.055259
2026-02-10,32300,202602W2,C,602,875.0,1865,84243,94098,-33,-0.055259
2026-02-10,32300,202602W2,P,1940,6.2,12569,84243,94098,-107,-0.055259
2026-02-10,32350,202602W2,C,365,825.0,631,84243,94098,-20,-0.055259
2026-02-10,32350,202602W2,P,1250,7.3,6088,84243,94098,-69,-0.055259
2026-02-10,32400,202602W2,C,924,775.0,2970,84243,94098,-51,-0.055259
2026-02-10,32400,202602W2,P,3738,8.6,20100,84243,94098,-206,-0.055259
2026-02-10,32450,202602W2,C,308,730.0,2013,84243,94098,-17,-0.055259
2026-02-10,32450,202602W2,P,1342,9.6,9052,84243,94098,-74,-0.055259
2026-02-10,32500,202602W2,C,1363,680.0,6138,84243,94098,-75,-0.055259
2026-02-10,32500,202602W2,P,3637,11.0,20491,84243,94098,-200,-0.055259
2026-02-10,32550,202602W2,C,586,635.0,5496,84243,94098,-32,-0.055259
2026-02-10,32550,202602W2,P,1611,14.0,8791,84243,94098,-89,-0.055259
2026-02-10,32600,202602W2,C,1239,585.0,10306,84243,94098,-68,-0.055259
2026-02-10,32600,202602W2,P,2714,16.0,15924,84243,94098,-149,-0.055259
2026-02-10,32650,202602W2,C,566,540.0,6828,84243,94098,-31,-0.055259
2026-02-10,32650,202602W2,P,1362,20.0,9603,84243,94098,-75,-0.055259
2026-02-10,32700,202602W2,C,1704,490.0,13823,84243,94098,-94,-0.055259
2026-02-10,32700,202602W2,P,2268,24.0,18231,84243,94098,-125,-0.055259
2026-02-10,32750,202602W2,C,593,444.0,8165,84243,94098,-32,-0.055259
2026-02-10,32750,202602W2,P,988,28.5,7909,84243,94098,-54,-0.055259
2026-02-10,32800,202602W2,C,1536,400.0,18341,84243,94098,-84,-0.055259
2026-02-10,32800,202602W2,P,2785,34.0,16792,84243,94098,-153,-0.055259
2026-02-10,32850,202602W2,C,974,360.0,11909,84243,94098,-53,-0.055259
2026-02-10,32850,202602W2,P,1218,40.5,9556,84243,94098,-67,-0.055259
2026-02-10,32900,202602W2,C,2090,318.0,23137,84243,94098,-115,-0.055259
2026-02-10,32900,202602W2,P,1938,49.0,15806,84243,94098,-107,-0.055259
2026-02-10,32950,202602W2,C,1664,279.0,17946,84243,94098,-91,-0.055259
2026-02-10,32950,202602W2,P,1023,60.0,8309,84243,94098,-56,-0.055259
2026-02-10,33000,202602W2,C,8146,241.0,42499,84243,94098,-450,-0.055259
2026-02-10,33000,202602W2,P,1863,71.0,12941,84243,94098,-102,-0.055259
2026-02-10,33050,202602W2,C,1536,206.0,16969,84243,94098,-84,-0.055259
2026-02-10,33050,202602W2,P,527,87.0,4838,84243,94098,-29,-0.055259
2026-02-10,33100,202602W2,C,3499,174.0,27484,84243,94098,-193,-0.055259
2026-02-10,33100,202602W2,P,950,104.0,5751,84243,94098,-52,-0.055259
2026-02-10,33150,202602W2,C,1953,145.0,16537,84243,94098,-107,-0.055259
2026-02-10,33150,202602W2,P,586,127.0,2175,84243,94098,-32,-0.055259
2026-02-10,33200,202602W2,C,3592,113.0,20998,84243,94098,-198,-0.055259
2026-02-10,33200,202602W2,P,648,151.0,2366,84243,94098,-35,-0.055259
2026-02-10,33250,202602W2,C,1367,90.0,11963,84243,94098,-75,-0.055259
2026-02-10,33250,202602W2,P,101,179.0,607,84243,94098,-5,-0.055259
2026-02-10,33300,202602W2,C,3202,71.0,14668,84243,94098,-176,-0.055259
2026-02-10,33300,202602W2,P,287,210.0,789,84243,94098,-15,-0.055259
2026-02-10,33350,202602W2,C,1916,54.0,7779,84243,94098,-105,-0.055259
2026-02-10,33350,202602W2,P,9,233.0,49,84243,94098,0,-0.055259
2026-02-10,33400,202602W2,C,3006,42.0,9050,84243,94098,-166,-0.055259
2026-02-10,33400,202602W2,P,48,270.0,221,84243,94098,-2,-0.055259
2026-02-10,33450,202602W2,C,2187,31.5,4007,84243,94098,-120,-0.055259
2026-02-10,33450,202602W2,P,8,310.0,18,84243,94098,0,-0.055259
2026-02-10,33500,202602W2,C,3441,23.5,6144,84243,94098,-190,-0.055259
2026-02-10,33500,202602W2,P,16,357.0,77,84243,94098,0,-0.055259
2026-02-10,33550,202602W2,C,857,17.0,1911,84243,94098,-47,-0.055259
2026-02-10,33600,202602W2,C,987,13.0,1738,84243,94098,-54,-0.055259
2026-02-10,33600,202602W2,P,3,442.0,8,84243,94098,0,-0.055259
2026-02-10,33650,202602W2,C,168,9.7,574,84243,94098,-9,-0.055259
2026-02-10,33700,202602W2,C,640,7.1,923,84243,94098,-35,-0.055259
2026-02-10,33750,202602W2,C,133,6.2,158,84243,94098,-7,-0.055259
2026-02-10,33800,202602W2,C,2032,4.1,964,84243,94098,-112,-0.055259
2026-02-10,33800,202602W2,P,5,635.0,5,84243,94098,0,-0.055259
2026-02-10,33900,202602W2,C,776,2.4,304,84243,94098,-42,-0.055259
2026-02-10,34000,202602W2,C,2093,1.7,551,84243,94098,-115,-0.055259
2026-02-10,34000,202602W2,P,1,830.0,0,84243,94098,0,-0.055259
2026-02-10,34100,202602W2,C,318,1.0,4,84243,94098,-17,-0.055259
2026-02-10,34200,202602W2,C,87,0.6,25,84243,94098,-4,-0.055259
2026-02-10,34300,202602W2,C,70,0.5,10,84243,94098,-3,-0.055259
2026-02-10,34400,202602W2,C,60,0.4,27,84243,94098,-3,-0.055259
2026-02-10,34500,202602W2,C,958,0.3,7,84243,94098,-52,-0.055259
2026-02-10,34600,202602W2,C,772,0.3,1,84243,94098,-42,-0.055259
2026-02-10,34700,202602W2,C,990,0.2,0,84243,94098,-54,-0.055259
2026-02-10,34800,202602W2,C,628,0.2,7,84243,94098,-34,-0.055259
2026-02-10,35000,202602W2,C,142,0.1,29,84243,94098,-7,-0.055259
2026-02-10,35100,202602W2,C,5,0.1,0,84243,94098,0,-0.055259
2026-02-10,35200,202602W2,C,8,0.1,0,84243,94098,0,-0.055259
2026-02-10,35300,202602W2,C,25,0.1,0,84243,94098,-1,-0.055259
2026-02-10,35400,202602W2,C,46,0.1,0,84243,94098,-2,-0.055259
2026-02-10,35600,202602W2,C,9,0.1,0,84243,94098,0,-0.055259
2026-02-10,35700,202602W2,C,100,0.1,0,84243,94098,-5,-0.055259
2026-02-10,35800,202602W2,C,5,0.1,0,84243,94098,0,-0.055259
2026-02-10,35900,202602W2,C,6,0.1,0,84243,94098,0,-0.055259
2026-02-10,36000,202602W2,C,1,0.1,0,84243,94098,0,-0.055259
2026-02-10,36100,202602W2,C,15,0.1,0,84243,94098,0,-0.055259
2026-02-10,22400,202602,P,1578,0.1,13,84243,94098,-87,-0.055259
2026-02-10,22500,202602,P,271,0.1,43,84243,94098,-14,-0.055259
2026-02-10,22600,202602,P,152,0.1,0,84243,94098,-8,-0.055259
2026-02-10,22700,202602,P,112,0.1,0,84243,94098,-6,-0.055259
2026-02-10,22800,202602,P,148,0.1,6,84243,94098,-8,-0.055259
2026-02-10,22900,202602,P,443,0.1,0,84243,94098,-24,-0.055259
2026-02-10,23000,202602,P,347,0.1,280,84243,94098,-19,-0.055259
2026-02-10,23100,202602,P,29,0.1,0,84243,94098,-1,-0.055259
2026-02-10,23200,202602,P,18,0.1,0,84243,94098,0,-0.055259
2026-02-10,23300,202602,P,10,0.1,0,84243,94098,0,-0.055259
2026-02-10,23400,202602,P,27,0.1,0,84243,94098,-1,-0.055259
2026-02-10,23500,202602,P,480,0.1,0,84243,94098,-26,-0.055259
2026-02-10,23600,202602,P,57,0.1,0,84243,94098,-3,-0.055259
2026-02-10,23700,202602,P,101,0.1,0,84243,94098,-5,-0.055259
2026-02-10,23800,202602,P,63,0.1,0,84243,94098,-3,-0.055259
2026-02-10,23900,202602,P,56,0.1,0,84243,94098,-3,-0.055259
2026-02-10,24000,202602,P,477,0.1,0,84243,94098,-26,-0.055259
2026-02-10,24100,202602,P,8,0.1,0,84243,94098,0,-0.055259
2026-02-10,24200,202602,P,12,0.1,1,84243,94098,0,-0.055259
2026-02-10,24300,202602,P,70,0.1,0,84243,94098,-3,-0.055259
2026-02-10,24400,202602,P,206,0.1,0,84243,94098,-11,-0.055259
2026-02-10,24500,202602,P,405,0.1,3,84243,94098,-22,-0.055259
2026-02-10,24600,202602,P,264,0.2,1,84243,94098,-14,-0.055259
2026-02-10,24700,202602,P,210,0.2,0,84243,94098,-11,-0.055259
2026-02-10,24800,202602,P,401,0.2,0,84243,94098,-22,-0.055259
2026-02-10,24900,202602,P,597,0.2,3,84243,94098,-32,-0.055259
2026-02-10,25000,202602,P,1353,0.2,8,84243,94098,-74,-0.055259
2026-02-10,25100,202602,P,335,0.2,0,84243,94098,-18,-0.055259
2026-02-10,25200,202602,P,358,0.2,0,84243,94098,-19,-0.055259
2026-02-10,25300,202602,P,273,0.2,100,84243,94098,-15,-0.055259
2026-02-10,25400,202602,P,367,0.2,385,84243,94098,-20,-0.055259
2026-02-10,25500,202602,P,978,0.2,90,84243,94098,-54,-0.055259
2026-02-10,25600,202602,P,854,0.2,0,84243,94098,-47,-0.055259
2026-02-10,25700,202602,P,580,0.2,0,84243,94098,-32,-0.055259
2026-02-10,25800,202602,P,838,0.2,5,84243,94098,-46,-0.055259
2026-02-10,25900,202602,P,801,0.2,395,84243,94098,-44,-0.055259
2026-02-10,26000,202602,P,1889,0.2,107,84243,94098,-104,-0.055259
2026-02-10,26100,202602,P,545,0.3,511,84243,94098,-30,-0.055259
2026-02-10,26200,202602,P,986,0.3,1310,84243,94098,-54,-0.055259
2026-02-10,26300,202602,C,1,7000.0,0,84243,94098,0,-0.055259
2026-02-10,26300,202602,P,1576,0.3,610,84243,94098,-87,-0.055259
2026-02-10,26400,202602,P,2088,0.3,122,84243,94098,-115,-0.055259
2026-02-10,26500,202602,P,2279,0.3,24,84243,94098,-125,-0.055259
2026-02-10,26600,202602,C,5,6700.0,0,84243,94098,0,-0.055259
2026-02-10,26600,202602,P,1682,0.4,15,84243,94098,-92,-0.055259
2026-02-10,26700,202602,P,1581,0.4,6,84243,94098,-87,-0.055259
2026-02-10,26800,202602,C,5,6500.0,0,84243,94098,0,-0.055259
2026-02-10,26800,202602,P,1521,0.4,24,84243,94098,-84,-0.055259
2026-02-10,26900,202602,C,1,6400.0,0,84243,94098,0,-0.055259
2026-02-10,26900,202602,P,2250,0.4,5,84243,94098,-124,-0.055259
2026-02-10,27000,202602,C,5,6300.0,2,84243,94098,0,-0.055259
2026-02-10,27000,202602,P,4343,0.4,155,84243,94098,-239,-0.055259
2026-02-10,27100,202602,P,1591,0.4,1,84243,94098,-87,-0.055259
2026-02-10,27200,202602,C,2,6100.0,0,84243,94098,0,-0.055259
2026-02-10,27200,202602,P,2739,0.5,0,84243,94098,-151,-0.055259
2026-02-10,27300,202602,C,2,6000.0,1,84243,94098,0,-0.055259
2026-02-10,27300,202602,P,1769,0.5,2,84243,94098,-97,-0.055259
2026-02-10,27400,202602,C,3,5900.0,0,84243,94098,0,-0.055259
2026-02-10,27400,202602,P,2228,0.5,22,84243,94098,-123,-0.055259
2026-02-10,27500,202602,C,3,5800.0,2,84243,94098,0,-0.055259
2026-02-10,27500,202602,P,3954,0.5,110,84243,94098,-218,-0.055259
2026-02-10,27600,202602,C,2,5700.0,0,84243,94098,0,-0.055259
2026-02-10,27600,202602,P,1677,0.6,22,84243,94098,-92,-0.055259
2026-02-10,27700,202602,C,18,5600.0,0,84243,94098,0,-0.055259
2026-02-10,27700,202602,P,743,0.6,10,84243,94098,-41,-0.055259
2026-02-10,27800,202602,C,25,5500.0,5,84243,94098,-1,-0.055259
2026-02-10,27800,202602,P,781,0.6,148,84243,94098,-43,-0.055259
2026-02-10,27900,202602,C,37,5400.0,0,84243,94098,-2,-0.055259
2026-02-10,27900,202602,P,172,0.6,21,84243,94098,-9,-0.055259
2026-02-10,28000,202602,C,9,5300.0,13,84243,94098,0,-0.055259
2026-02-10,28000,202602,P,3747,0.7,354,84243,94098,-207,-0.055259
2026-02-10,28100,202602,C,27,5200.0,0,84243,94098,-1,-0.055259
