date,strike,expiry,cp,total_oi,settlement_price,volume,dealer_long_oi,dealer_short_oi,dealer_net_oi,dealer_fraction
2026-03-31,29200,202604W1,P,91,0.9,136,50046,61174,-9,-0.100054
2026-03-31,29300,202604W1,C,2,2650.0,0,50046,61174,0,-0.100054
2026-03-31,29300,202604W1,P,5210,1.3,1888,50046,61174,-521,-0.100054
2026-03-31,29400,202604W1,P,874,1.8,310,50046,61174,-87,-0.100054
2026-03-31,29500,202604W1,P,655,3.3,396,50046,61174,-65,-0.100054
2026-03-31,29600,202604W1,P,363,3.3,230,50046,61174,-36,-0.100054
2026-03-31,29700,202604W1,P,586,3.5,324,50046,61174,-58,-0.100054
2026-03-31,29800,202604W1,P,740,3.7,272,50046,61174,-74,-0.100054
2026-03-31,29900,202604W1,P,505,4.2,378,50046,61174,-50,-0.100054
2026-03-31,30000,202604W1,P,3182,6.4,2726,50046,61174,-318,-0.100054
2026-03-31,30100,202604W1,P,433,7.0,462,50046,61174,-43,-0.100054
2026-03-31,30200,202604W1,P,1000,9.3,1056,50046,61174,-100,-0.100054
2026-03-31,30300,202604W1,P,773,11.5,1369,50046,61174,-77,-0.100054
2026-03-31,30400,202604W1,P,902,13.0,1347,50046,61174,-90,-0.100054
2026-03-31,30500,202604W1,P,1370,16.0,2467,50046,61174,-137,-0.100054
2026-03-31,30600,202604W1,P,1398,18.5,2187,50046,61174,-139,-0.100054
2026-03-31,30700,202604W1,P,970,22.5,2375,50046,61174,-97,-0.100054
2026-03-31,30800,202604W1,P,2570,27.5,3945,50046,61174,-257,-0.100054
2026-03-31,30900,202604W1,C,2,1070.0,2,50046,61174,0,-0.100054
2026-03-31,30900,202604W1,P,1264,34.0,3009,50046,61174,-126,-0.100054
2026-03-31,31000,202604W1,C,1,985.0,3,50046,61174,0,-0.100054
2026-03-31,31000,202604W1,P,3585,40.5,12944,50046,61174,-358,-0.100054
2026-03-31,31100,202604W1,P,1968,50.0,5384,50046,61174,-196,-0.100054
2026-03-31,31200,202604W1,C,15,805.0,23,50046,61174,-1,-0.100054
2026-03-31,31200,202604W1,P,1374,61.0,7784,50046,61174,-137,-0.100054
2026-03-31,31300,202604W1,C,11,715.0,3,50046,61174,-1,-0.100054
2026-03-31,31300,202604W1,P,1273,73.0,8370,50046,61174,-127,-0.100054
2026-03-31,31400,202604W1,C,7,635.0,9,50046,61174,0,-0.100054
2026-03-31,31400,202604W1,P,2794,90.0,8472,50046,61174,-279,-0.100054
2026-03-31,31500,202604W1,C,15,565.0,78,50046,61174,-1,-0.100054
2026-03-31,31500,202604W1,P,1843,108.0,13647,50046,61174,-184,-0.100054
2026-03-31,31550,202604W1,C,15,515.0,29,50046,61174,-1,-0.100054
2026-03-31,31550,202604W1,P,152,119.0,1461,50046,61174,-15,-0.100054
2026-03-31,31600,202604W1,C,37,473.0,202,50046,61174,-3,-0.100054
2026-03-31,31600,202604W1,P,2508,133.0,7224,50046,61174,-250,-0.100054
2026-03-31,31650,202604W1,C,23,434.0,63,50046,61174,-2,-0.100054
2026-03-31,31650,202604W1,P,816,148.0,3709,50046,61174,-81,-0.100054
2026-03-31,31700,202604W1,C,199,405.0,413,50046,61174,-19,-0.100054
2026-03-31,31700,202604W1,P,722,162.0,7885,50046,61174,-72,-0.100054
2026-03-31,31750,202604W1,C,56,379.0,212,50046,61174,-5,-0.100054
2026-03-31,31750,202604W1,P,564,181.0,3858,50046,61174,-56,-0.100054
2026-03-31,31800,202604W1,C,255,336.0,954,50046,61174,-25,-0.100054
2026-03-31,31800,202604W1,P,1168,198.0,10051,50046,61174,-116,-0.100054
2026-03-31,31850,202604W1,C,119,306.0,616,50046,61174,-11,-0.100054
2026-03-31,31850,202604W1,P,510,223.0,4023,50046,61174,-51,-0.100054
2026-03-31,31900,202604W1,C,377,279.0,1511,50046,61174,-37,-0.100054
2026-03-31,31900,202604W1,P,966,238.0,8539,50046,61174,-96,-0.100054
2026-03-31,31950,202604W1,C,133,251.0,880,50046,61174,-13,-0.100054
2026-03-31,31950,202604W1,P,473,270.0,4379,50046,61174,-47,-0.100054
2026-03-31,32000,202604W1,C,804,230.0,5095,50046,61174,-80,-0.100054
2026-03-31,32000,202604W1,P,1525,288.0,20742,50046,61174,-152,-0.100054
2026-03-31,32050,202604W1,C,289,202.0,1617,50046,61174,-28,-0.100054
2026-03-31,32050,202604W1,P,293,325.0,4156,50046,61174,-29,-0.100054
2026-03-31,32100,202604W1,C,429,179.0,3417,50046,61174,-42,-0.100054
2026-03-31,32100,202604W1,P,403,348.0,7272,50046,61174,-40,-0.100054
2026-03-31,32150,202604W1,C,306,165.0,2516,50046,61174,-30,-0.100054
2026-03-31,32150,202604W1,P,298,366.0,3866,50046,61174,-29,-0.100054
2026-03-31,32200,202604W1,C,716,142.0,6316,50046,61174,-71,-0.100054
2026-03-31,32200,202604W1,P,1073,402.0,8747,50046,61174,-107,-0.100054
2026-03-31,32250,202604W1,C,377,132.0,2752,50046,61174,-37,-0.100054
2026-03-31,32250,202604W1,P,318,427.0,3247,50046,61174,-31,-0.100054
2026-03-31,32300,202604W1,C,937,113.0,6995,50046,61174,-93,-0.100054
2026-03-31,32300,202604W1,P,431,460.0,6109,50046,61174,-43,-0.100054
2026-03-31,32350,202604W1,C,759,100.0,4506,50046,61174,-75,-0.100054
2026-03-31,32350,202604W1,P,267,500.0,3019,50046,61174,-26,-0.100054
2026-03-31,32400,202604W1,C,978,88.0,7992,50046,61174,-97,-0.100054
2026-03-31,32400,202604W1,P,628,540.0,5102,50046,61174,-62,-0.100054
2026-03-31,32450,202604W1,C,508,74.0,4034,50046,61174,-50,-0.100054
2026-03-31,32450,202604W1,P,324,590.0,2445,50046,61174,-32,-0.100054
2026-03-31,32500,202604W1,C,1683,66.0,14860,50046,61174,-168,-0.100054
2026-03-31,32500,202604W1,P,745,620.0,7739,50046,61174,-74,-0.100054
2026-03-31,32550,202604W1,C,616,55.0,6584,50046,61174,-61,-0.100054
2026-03-31,32550,202604W1,P,364,660.0,1271,50046,61174,-36,-0.100054
2026-03-31,32600,202604W1,C,1755,49.5,8931,50046,61174,-175,-0.100054
2026-03-31,32600,202604W1,P,462,700.0,2486,50046,61174,-46,-0.100054
2026-03-31,32650,202604W1,C,778,43.0,4934,50046,61174,-77,-0.100054
2026-03-31,32650,202604W1,P,217,750.0,1382,50046,61174,-21,-0.100054
2026-03-31,32700,202604W1,C,1294,37.0,8444,50046,61174,-129,-0.100054
2026-03-31,32700,202604W1,P,1164,795.0,1729,50046,61174,-116,-0.100054
2026-03-31,32750,202604W1,C,860,31.5,5266,50046,61174,-86,-0.100054
2026-03-31,32750,202604W1,P,147,840.0,433,50046,61174,-14,-0.100054
2026-03-31,32800,202604W1,C,1653,27.5,11169,50046,61174,-165,-0.100054
2026-03-31,32800,202604W1,P,617,885.0,1003,50046,61174,-61,-0.100054
2026-03-31,32850,202604W1,C,502,22.5,3952,50046,61174,-50,-0.100054
2026-03-31,32850,202604W1,P,242,930.0,227,50046,61174,-24,-0.100054
2026-03-31,32900,202604W1,C,1574,20.5,7454,50046,61174,-157,-0.100054
2026-03-31,32900,202604W1,P,288,980.0,363,50046,61174,-28,-0.100054
2026-03-31,32950,202604W1,C,660,17.5,3819,50046,61174,-66,-0.100054
2026-03-31,32950,202604W1,P,107,1020.0,124,50046,61174,-10,-0.100054
2026-03-31,33000,202604W1,C,2891,15.0,18832,50046,61174,-289,-0.100054
2026-03-31,33000,202604W1,P,461,1070.0,534,50046,61174,-46,-0.100054
2026-03-31,33050,202604W1,C,789,13.0,4440,50046,61174,-78,-0.100054
2026-03-31,33050,202604W1,P,99,1120.0,43,50046,61174,-9,-0.100054
2026-03-31,33100,202604W1,C,1222,11.0,7417,50046,61174,-122,-0.100054
2026-03-31,33100,202604W1,P,114,1160.0,126,50046,61174,-11,-0.100054
2026-03-31,33150,202604W1,C,1847,10.0,4017,50046,61174,-184,-0.100054
2026-03-31,33150,202604W1,P,79,1210.0,16,50046,61174,-7,-0.100054
2026-03-31,33200,202604W1,C,1501,8.6,7248,50046,61174,-150,-0.100054
2026-03-31,33200,202604W1,P,158,1260.0,70,50046,61174,-15,-0.100054
2026-03-31,33250,202604W1,C,464,7.3,3198,50046,61174,-46,-0.100054
2026-03-31,33250,202604W1,P,136,1310.0,8,50046,61174,-13,-0.100054
2026-03-31,33300,202604W1,C,2247,6.1,8471,50046,61174,-224,-0.100054
2026-03-31,33300,202604W1,P,91,1360.0,23,50046,61174,-9,-0.100054
2026-03-31,33350,202604W1,C,638,5.0,3488,50046,61174,-63,-0.100054
2026-03-31,33350,202604W1,P,53,1410.0,20,50046,61174,-5,-0.100054
2026-03-31,33400,202604W1,C,1973,4.5,6248,50046,61174,-197,-0.100054
2026-03-31,33400,202604W1,P,42,1460.0,20,50046,61174,-4,-0.100054
2026-03-31,33450,202604W1,C,640,4.2,2414,50046,61174,-64,-0.100054
2026-03-31,33450,202604W1,P,59,1510.0,29,50046,61174,-5,-0.100054
2026-03-31,33500,202604W1,C,1781,3.4,6962,50046,61174,-178,-0.100054
2026-03-31,33500,202604W1,P,63,1560.0,37,50046,61174,-6,-0.100054
2026-03-31,33550,202604W1,C,398,3.0,1638,50046,61174,-39,-0.100054
2026-03-31,33550,202604W1,P,76,1610.0,14,50046,61174,-7,-0.100054
2026-03-31,33600,202604W1,C,1195,2.5,3881,50046,61174,-119,-0.100054
2026-03-31,33600,202604W1,P,73,1660.0,25,50046,61174,-7,-0.100054
2026-03-31,33650,202604W1,C,688,2.3,1757,50046,61174,-68,-0.100054
2026-03-31,33650,202604W1,P,48,1710.0,1,50046,61174,-4,-0.100054
2026-03-31,33700,202604W1,C,949,2.1,3205,50046,61174,-94,-0.100054
2026-03-31,33700,202604W1,P,80,1760.0,20,50046,61174,-8,-0.100054
2026-03-31,33750,202604W1,C,430,1.7,1193,50046,61174,-43,-0.100054
2026-03-31,33750,202604W1,P,31,1810.0,0,50046,61174,-3,-0.100054
2026-03-31,33800,202604W1,C,905,1.5,2444,50046,61174,-90,-0.100054
2026-03-31,33800,202604W1,P,42,1860.0,8,50046,61174,-4,-0.100054
2026-03-31,33850,202604W1,C,266,1.4,918,50046,61174,-26,-0.100054
2026-03-31,33850,202604W1,P,3,1910.0,0,50046,61174,0,-0.100054
2026-03-31,33900,202604W1,C,1633,1.4,2355,50046,61174,-163,-0.100054
2026-03-31,33900,202604W1,P,18,1960.0,2,50046,61174,-1,-0.100054
2026-03-31,33950,202604W1,C,406,1.3,649,50046,61174,-40,-0.100054
2026-03-31,33950,202604W1,P,25,2010.0,0,50046,61174,-2,-0.100054
2026-03-31,34000,202604W1,C,2496,0.7,5657,50046,61174,-249,-0.100054
2026-03-31,34000,202604W1,P,55,2060.0,22,50046,61174,-5,-0.100054
2026-03-31,34050,202604W1,C,432,0.6,621,50046,61174,-43,-0.100054
2026-03-31,34050,202604W1,P,2,2110.0,0,50046,61174,0,-0.100054
2026-03-31,34100,202604W1,C,1030,0.5,1524,50046,61174,-103,-0.100054
2026-03-31,34100,202604W1,P,21,2160.0,0,50046,61174,-2,-0.100054
2026-03-31,34150,202604W1,C,408,0.5,471,50046,61174,-40,-0.100054
2026-03-31,34150,202604W1,P,21,2210.0,0,50046,61174,-2,-0.100054
2026-03-31,34200,202604W1,C,764,0.5,913,50046,61174,-76,-0.100054
2026-03-31,34200,202604W1,P,13,2260.0,0,50046,61174,-1,-0.100054
2026-03-31,34250,202604W1,C,345,0.5,308,50046,61174,-34,-0.100054
2026-03-31,34250,202604W1,P,1,2310.0,0,50046,61174,0,-0.100054
2026-03-31,34300,202604W1,C,611,0.5,626,50046,61174,-61,-0.100054
2026-03-31,34300,202604W1,P,6,2360.0,0,50046,61174,0,-0.100054
2026-03-31,34350,202604W1,C,279,0.4,252,50046,61174,-27,-0.100054
2026-03-31,34350,202604W1,P,20,2410.0,0,50046,61174,-2,-0.100054
2026-03-31,34400,202604W1,C,483,0.4,519,50046,61174,-48,-0.100054
2026-03-31,34400,202604W1,P,4,2460.0,0,50046,61174,0,-0.100054
2026-03-31,34450,202604W1,C,179,0.4,297,50046,61174,-17,-0.100054
2026-03-31,34450,202604W1,P,2,2510.0,0,50046,61174,0,-0.100054
2026-03-31,34500,202604W1,C,1176,0.4,1206,50046,61174,-117,-0.100054
2026-03-31,34500,202604W1,P,27,2560.0,0,50046,61174,-2,-0.100054
2026-03-31,34550,202604W1,C,166,0.4,51,50046,61174,-16,-0.100054
2026-03-31,34550,202604W1,P,20,2610.0,0,50046,61174,-2,-0.100054
2026-03-31,34600,202604W1,C,613,0.3,651,50046,61174,-61,-0.100054
2026-03-31,34600,202604W1,P,2,2660.0,0,50046,61174,0,-0.100054
2026-03-31,34650,202604W1,C,261,0.3,83,50046,61174,-26,-0.100054
2026-03-31,34700,202604W1,C,554,0.3,593,50046,61174,-55,-0.100054
2026-03-31,34700,202604W1,P,2,2760.0,0,50046,61174,0,-0.100054
2026-03-31,34750,202604W1,C,441,0.3,212,50046,61174,-44,-0.100054
2026-03-31,34800,202604W1,C,386,0.2,276,50046,61174,-38,-0.100054
2026-03-31,34850,202604W1,C,88,0.2,38,50046,61174,-8,-0.100054
2026-03-31,34850,202604W1,P,1,2910.0,0,50046,61174,0,-0.100054
2026-03-31,34900,202604W1,C,319,0.2,137,50046,61174,-31,-0.100054
2026-03-31,34950,202604W1,C,178,0.2,96,50046,61174,-17,-0.100054
2026-03-31,35000,202604W1,C,1113,0.2,812,50046,61174,-111,-0.100054
2026-03-31,35050,202604W1,C,223,0.2,474,50046,61174,-22,-0.100054
2026-03-31,35100,202604W1,C,210,0.2,539,50046,61174,-21,-0.100054
2026-03-31,35150,202604W1,C,146,0.2,163,50046,61174,-14,-0.100054
2026-03-31,35200,202604W1,C,449,0.2,200,50046,61174,-44,-0.100054
2026-03-31,35200,202604W1,P,3,3260.0,0,50046,61174,0,-0.100054
2026-03-31,35250,202604W1,C,163,0.2,70,50046,61174,-16,-0.100054
2026-03-31,35300,202604W1,C,244,0.2,226,50046,61174,-24,-0.100054
2026-03-31,35300,202604W1,P,1,3360.0,0,50046,61174,0,-0.100054
2026-03-31,35350,202604W1,C,62,0.2,83,50046,61174,-6,-0.100054
2026-03-31,35400,202604W1,C,261,0.2,152,50046,61174,-26,-0.100054
2026-03-31,35500,202604W1,C,1643,0.2,553,50046,61174,-164,-0.100054
2026-03-31,35600,202604W1,C,440,0.2,120,50046,61174,-44,-0.100054
2026-03-31,35700,202604W1,C,114,0.2,83,50046,61174,-11,-0.100054
2026-03-31,35800,202604W1,C,438,0.2,109,50046,61174,-43,-0.100054
2026-03-31,35900,202604W1,C,95,0.2,50,50046,61174,-9,-0.100054
2026-03-31,36000,202604W1,C,444,0.2,136,50046,61174,-44,-0.100054
2026-03-31,36100,202604W1,C,33,0.2,9,50046,61174,-3,-0.100054
2026-03-31,36200,202604W1,C,102,0.2,13,50046,61174,-10,-0.100054
2026-03-31,36300,202604W1,C,148,0.2,60,50046,61174,-14,-0.100054
2026-03-31,36400,202604W1,C,53,0.2,5,50046,61174,-5,-0.100054
2026-03-31,36500,202604W1,C,50,0.2,13,50046,61174,-5,-0.100054
2026-03-31,36600,202604W1,C,70,0.2,3,50046,61174,-7,-0.100054
2026-03-31,36700,202604W1,C,38,0.2,0,50046,61174,-3,-0.100054
2026-03-31,36800,202604W1,C,32,0.2,1,50046,61174,-3,-0.100054
2026-03-31,36900,202604W1,C,64,0.2,30,50046,61174,-6,-0.100054
2026-03-31,37000,202604W1,C,21,0.2,0,50046,61174,-2,-0.100054
2026-03-31,37100,202604W1,C,4,0.2,0,50046,61174,0,-0.100054
2026-03-31,37200,202604W1,C,11,0.2,0,50046,61174,-1,-0.100054
2026-03-31,37300,202604W1,C,34,0.2,2,50046,61174,-3,-0.100054
2026-03-31,37400,202604W1,C,6,0.2,0,50046,61174,0,-0.100054
2026-03-31,37500,202604W1,C,14,0.2,4,50046,61174,-1,-0.100054
2026-03-31,37600,202604W1,C,20,0.2,3,50046,61174,-2,-0.100054
2026-03-31,37700,202604W1,C,12,0.2,7,50046,61174,-1,-0.100054
2026-03-31,37800,202604W1,C,203,0.2,17,50046,61174,-20,-0.100054
2026-03-31,29200,202604F1,P,345,50.0,569,50046,61174,-34,-0.100054
2026-03-31,29300,202604F1,P,830,54.0,776,50046,61174,-83,-0.100054
2026-03-31,29400,202604F1,P,128,57.0,149,50046,61174,-12,-0.100054
2026-03-31,29500,202604F1,P,85,64.0,120,50046,61174,-8,-0.100054
2026-03-31,29600,202604F1,P,44,71.0,44,50046,61174,-4,-0.100054
2026-03-31,29700,202604F1,P,27,77.0,31,50046,61174,-2,-0.100054
2026-03-31,29800,202604F1,P,68,90.0,53,50046,61174,-6,-0.100054
2026-03-31,29900,202604F1,P,30,94.0,37,50046,61174,-3,-0.100054
2026-03-31,30000,202604F1,P,124,110.0,289,50046,61174,-12,-0.100054
2026-03-31,30100,202604F1,P,36,115.0,22,50046,61174,-3,-0.100054
2026-03-31,30200,202604F1,P,28,127.0,30,50046,61174,-2,-0.100054
2026-03-31,30300,202604F1,C,1,1810.0,0,50046,61174,0,-0.100054
2026-03-31,30300,202604F1,P,91,140.0,33,50046,61174,-9,-0.100054
2026-03-31,30400,202604F1,C,1,1720.0,0,50046,61174,0,-0.100054
2026-03-31,30400,202604F1,P,2614,158.0,2210,50046,61174,-261,-0.100054
2026-03-31,30500,202604F1,C,1,1640.0,1,50046,61174,0,-0.100054
2026-03-31,30500,202604F1,P,66,169.0,71,50046,61174,-6,-0.100054
2026-03-31,30600,202604F1,P,55,188.0,34,50046,61174,-5,-0.100054
2026-03-31,30700,202604F1,P,191,205.0,147,50046,61174,-19,-0.100054
2026-03-31,30800,202604F1,P,241,225.0,129,50046,61174,-24,-0.100054
2026-03-31,30900,202604F1,P,123,247.0,64,50046,61174,-12,-0.100054
2026-03-31,31000,202604F1,P,98,276.0,147,50046,61174,-9,-0.100054
2026-03-31,31100,202604F1,P,51,299.0,72,50046,61174,-5,-0.100054
2026-03-31,31200,202604F1,C,1,1100.0,0,50046,61174,0,-0.100054
